accession	KO_hmm	e_value	bit_score	bit_score_cutoff	Definition	confidence
GCA_000017945-FLGBHGLA_01960	K06869	1.3e-61	205.1	171.70	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_01970	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_01980	K01872	4.4e-166	551.6	179.77	alanyl-tRNA_synthetase_[EC:6.1.1.7]	high_score
GCA_000017945-FLGBHGLA_01990	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02000	K06935	2.6e-138	457.9	354.63	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_02010	K12524	7.1e-101	335.5	728.53	bifunctional_aspartokinase_/_homoserine_dehydrogenase_1_[EC:2.7.2.4_1.1.1.3]	-
GCA_000017945-FLGBHGLA_02020	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02030	K09482	1.2e-162	538.2	372.90	glutamyl-tRNA(Gln)_amidotransferase_subunit_D_[EC:6.3.5.7]	high_score
GCA_000017945-FLGBHGLA_02040	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02050	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02060	K00567	1e-24	84.3	100.93	methylated-DNA-[protein]-cysteine_S-methyltransferase_[EC:2.1.1.63]	-
GCA_000017945-FLGBHGLA_02070	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02080	K03924	4e-101	335.2	105.43	MoxR-like_ATPase_[EC:3.6.3.-]	high_score
GCA_000017945-FLGBHGLA_02090	K22452	3.8e-28	95.6	89.13	protein-glutamine_gamma-glutamyltransferase_[EC:2.3.2.13]	high_score
GCA_000017945-FLGBHGLA_02100	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02110	K09138	2.2e-33	112.3	83.00	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_02120	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02130	K03678	1.8e-66	221.8	261.53	exosome_complex_component_RRP45	-
GCA_000017945-FLGBHGLA_02140	K11600	1.3e-78	261.1	204.03	exosome_complex_component_RRP41	high_score
GCA_000017945-FLGBHGLA_02150	K03679	1.3e-47	159.4	98.40	exosome_complex_component_RRP4	high_score
GCA_000017945-FLGBHGLA_02160	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02170	K03025	7.1e-11	39.1	65.60	DNA-directed_RNA_polymerase_III_subunit_RPC6	-
GCA_000017945-FLGBHGLA_02180	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02190	K00014	5.3e-78	259.1	174.33	shikimate_dehydrogenase_[EC:1.1.1.25]	high_score
GCA_000017945-FLGBHGLA_02200	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02210	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02220	K00946	1.3e-45	153.1	138.80	thiamine-monophosphate_kinase_[EC:2.7.4.16]	high_score
GCA_000017945-FLGBHGLA_02230	K01873	1.7e-187	622.3	580.90	valyl-tRNA_synthetase_[EC:6.1.1.9]	high_score
GCA_000017945-FLGBHGLA_02240	K06915	8.8e-50	167.0	126.90	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_02250	K18532	2.5e-31	105.9	55.83	adenylate_kinase_[EC:2.7.4.3]	high_score
GCA_000017945-FLGBHGLA_02260	K03079	2.1e-17	60.0	123.07	L-ribulose-5-phosphate_3-epimerase_[EC:5.1.3.22]	-
GCA_000017945-FLGBHGLA_02270	K01494	3.5e-41	138.0	78.40	dCTP_deaminase_[EC:3.5.4.13]	high_score
GCA_000017945-FLGBHGLA_02280	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02290	K03718	9.4e-12	41.7	137.20	Lrp/AsnC_family_transcriptional_regulator,_regulator_for_asnA,_asnC_and_gidA	-
GCA_000017945-FLGBHGLA_02300	K17828	3.8e-94	312.0	240.27	dihydroorotate_dehydrogenase_(NAD+)_catalytic_subunit_[EC:1.3.1.14]	high_score
GCA_000017945-FLGBHGLA_02310	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02320	K10026	2.5e-49	164.9	77.73	7-carboxy-7-deazaguanine_synthase_[EC:4.3.99.3]	high_score
GCA_000017945-FLGBHGLA_02330	K12845	1.1e-26	90.2	108.27	U4/U6_small_nuclear_ribonucleoprotein_SNU13	-
GCA_000017945-FLGBHGLA_02340	K09157	1e-139	463.1	155.80	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_02350	K09119	1.2e-10	38.6	82.83	KEOPS_complex_subunit_Cgi121	-
GCA_000017945-FLGBHGLA_02360	K07101	3.1e-37	124.8	104.57	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_02370	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02380	K03442	6.4e-11	39.0	220.17	small_conductance_mechanosensitive_channel	-
GCA_000017945-FLGBHGLA_02390	K03499	7.7e-41	137.1	132.47	trk_system_potassium_uptake_protein	high_score
GCA_000017945-FLGBHGLA_02400	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02410	K07096	4.1e-13	46.5	77.90	uncharacterized_protein	-
GCA_000017945-FLGBHGLA_02420	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02430	K07581	3.9e-40	133.9	73.43	RNA-binding_protein	high_score
GCA_000017945-FLGBHGLA_02440	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02450	K01079	1.5e-32	110.3	96.53	phosphoserine_phosphatase_[EC:3.1.3.3]	high_score
GCA_000017945-FLGBHGLA_02460	K03041	0	1400.4	1071.17	DNA-directed_RNA_polymerase_subunit_A'_[EC:2.7.7.6]	high_score
GCA_000017945-FLGBHGLA_02470	K03042	5e-157	519.7	457.53	DNA-directed_RNA_polymerase_subunit_A"_[EC:2.7.7.6]	high_score
GCA_000017945-FLGBHGLA_02480	K02908	9.1e-30	99.6	47.87	large_subunit_ribosomal_protein_L30e	high_score
GCA_000017945-FLGBHGLA_02490	K02600	6.2e-20	68.2	36.63	transcription_termination/antitermination_protein_NusA	high_score
GCA_000017945-FLGBHGLA_02500	K02973	2.6e-51	170.2	189.30	small_subunit_ribosomal_protein_S23e	-
GCA_000017945-FLGBHGLA_02510	K08999	3.8e-12	43.2	33.87	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_02520	K02989	1.1e-63	211.2	237.70	small_subunit_ribosomal_protein_S5e	-
GCA_000017945-FLGBHGLA_02530	K10725	4.7e-154	510.1	196.43	archaeal_cell_division_control_protein_6	high_score
GCA_000017945-FLGBHGLA_02540	K09120	4.7e-17	58.9	53.17	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_02550	K00948	7.5e-64	212.9	56.40	ribose-phosphate_pyrophosphokinase_[EC:2.7.6.1]	high_score
GCA_000017945-FLGBHGLA_02560	K06965	1e-58	196.2	105.07	protein_pelota	high_score
GCA_000017945-FLGBHGLA_02570	K03636	6.8e-06	24.4	35.60	sulfur-carrier_protein	-
GCA_000017945-FLGBHGLA_02580	K06149	5.9e-17	59.5	121.73	universal_stress_protein_A	-
GCA_000017945-FLGBHGLA_02590	K01895	2.8e-191	634.2	706.20	acetyl-CoA_synthetase_[EC:6.2.1.1]	-
GCA_000017945-FLGBHGLA_02600	K01895	1.9e-114	380.4	706.20	acetyl-CoA_synthetase_[EC:6.2.1.1]	-
GCA_000017945-FLGBHGLA_02610	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02620	K06953	7.5e-57	189.4	89.00	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_02630	K21142	3.7e-56	187.1	203.23	MoaE-MoaD_fusion_protein_[EC:2.8.1.12]	-
GCA_000017945-FLGBHGLA_02640	K05942	9e-205	677.5	456.83	citrate_(Re)-synthase_[EC:2.3.3.3]	high_score
GCA_000017945-FLGBHGLA_02650	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02660	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02670	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02680	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02690	K15904	6.6e-117	388.0	666.77	bifunctional_N6-L-threonylcarbamoyladenine_synthase_/_protein_kinase_Bud32_[EC:2.3.1.234_2.7.11.1]	-
GCA_000017945-FLGBHGLA_02700	K07013	4.1e-08	30.6	65.20	uncharacterized_protein	-
GCA_000017945-FLGBHGLA_02710	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02720	K08093	7.4e-61	202.3	168.30	3-hexulose-6-phosphate_synthase_[EC:4.1.2.43]	high_score
GCA_000017945-FLGBHGLA_02730	K02977	3.7e-08	30.8	167.37	small_subunit_ribosomal_protein_S27Ae	-
GCA_000017945-FLGBHGLA_02740	K02974	1.4e-16	57.2	40.67	small_subunit_ribosomal_protein_S24e	high_score
GCA_000017945-FLGBHGLA_02750	K02962	1.2e-22	77.0	30.17	small_subunit_ribosomal_protein_S17e	high_score
GCA_000017945-FLGBHGLA_02760	K20810	1.1e-26	90.3	291.50	aminodeoxyfutalosine_deaminase_[EC:3.5.4.40]	-
GCA_000017945-FLGBHGLA_02770	K00927	1.4e-112	373.5	62.87	phosphoglycerate_kinase_[EC:2.7.2.3]	high_score
GCA_000017945-FLGBHGLA_02780	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02790	K00239	3e-213	706.2	606.00	succinate_dehydrogenase_/_fumarate_reductase,_flavoprotein_subunit_[EC:1.3.5.1_1.3.5.4]	high_score
GCA_000017945-FLGBHGLA_02800	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02810	K03547	1e-50	170.5	78.53	DNA_repair_protein_SbcD/Mre11	high_score
GCA_000017945-FLGBHGLA_02820	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02830	K03785	4.5e-35	119.0	187.33	3-dehydroquinate_dehydratase_I_[EC:4.2.1.10]	-
GCA_000017945-FLGBHGLA_02840	K03183	2.8e-23	79.8	216.67	demethylmenaquinone_methyltransferase_/_2-methoxy-6-polyprenyl-1,4-benzoquinol_methylase_[EC:2.1.1.163_2.1.1.201]	-
GCA_000017945-FLGBHGLA_02850	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02860	K03665	6.9e-90	299.0	118.83	GTPase	high_score
GCA_000017945-FLGBHGLA_02870	K02966	7e-47	155.8	53.37	small_subunit_ribosomal_protein_S19e	high_score
GCA_000017945-FLGBHGLA_02880	K06875	9.7e-29	96.8	43.50	programmed_cell_death_protein_5	high_score
GCA_000017945-FLGBHGLA_02890	K02924	6.7e-14	48.8	30.67	large_subunit_ribosomal_protein_L39e	high_score
GCA_000017945-FLGBHGLA_02900	K02910	4.3e-19	65.7	34.33	large_subunit_ribosomal_protein_L31e	high_score
GCA_000017945-FLGBHGLA_02910	K03264	8.2e-51	169.3	64.27	translation_initiation_factor_6	high_score
GCA_000017945-FLGBHGLA_02920	K23144	6.3e-73	242.8	417.77	UDP-N-acetylglucosamine_diphosphorylase_/_glucose-1-phosphate_thymidylyltransferase_/_UDP-N-acetylgalactosamine_diphosphorylase_/_glucosamine-1-phosphate_N-acetyltransferase_/_galactosamine-1-phosphate_N-acetyltransferase_[EC:2.7.7.23_2.7.7.24_2.7.7.83_2.3.1.157_2.3.1.276]	-
GCA_000017945-FLGBHGLA_02930	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_02940	K02976	3.4e-22	75.9	48.30	small_subunit_ribosomal_protein_S26e	high_score
GCA_000017945-FLGBHGLA_02950	K16317	1.8e-46	155.2	52.80	tRNA_(pseudouridine54-N1)-methyltransferase_[EC:2.1.1.257]	high_score
GCA_000017945-FLGBHGLA_02960	K01474	8e-138	457.0	555.57	N-methylhydantoinase_B_[EC:3.5.2.14]	-
GCA_000017945-FLGBHGLA_02970	K08482	9.5e-60	199.6	115.43	circadian_clock_protein_KaiC	high_score
GCA_000017945-FLGBHGLA_02980	K07579	3e-56	187.1	102.20	putative_methylase	high_score
GCA_000017945-FLGBHGLA_02990	K01265	2.8e-34	116.1	130.63	methionyl_aminopeptidase_[EC:3.4.11.18]	-
GCA_000017945-FLGBHGLA_03000	K11389	5.7e-231	765.2	618.50	glyceraldehyde-3-phosphate_dehydrogenase_(ferredoxin)_[EC:1.2.7.6]	high_score
GCA_000017945-FLGBHGLA_03010	K09791	5.8e-13	45.3	40.87	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_03020	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03030	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03040	K03716	9.7e-12	41.6	120.67	spore_photoproduct_lyase_[EC:4.1.99.14]	-
GCA_000017945-FLGBHGLA_03050	K21929	2.3e-64	213.9	43.00	uracil-DNA_glycosylase_[EC:3.2.2.27]	high_score
GCA_000017945-FLGBHGLA_03060	K08153	3.5e-11	39.5	401.93	MFS_transporter,_DHA1_family,_multidrug_resistance_protein	-
GCA_000017945-FLGBHGLA_03070	K07166	8e-33	109.4	89.00	ACT_domain-containing_protein	high_score
GCA_000017945-FLGBHGLA_03080	K16793	2.2e-63	209.5	225.97	methanogen_homoaconitase_small_subunit_[EC:4.2.1.114]	-
GCA_000017945-FLGBHGLA_03090	K22522	3.9e-06	23.4	75.60	cytokinin_riboside_5'-monophosphate_phosphoribohydrolase_[EC:3.2.2.-]	-
GCA_000017945-FLGBHGLA_03100	K08482	2.4e-50	168.6	115.43	circadian_clock_protein_KaiC	high_score
GCA_000017945-FLGBHGLA_03110	K14170	8e-86	285.0	328.90	chorismate_mutase_/_prephenate_dehydratase_[EC:5.4.99.5_4.2.1.51]	-
GCA_000017945-FLGBHGLA_03120	K03718	4.6e-13	45.9	137.20	Lrp/AsnC_family_transcriptional_regulator,_regulator_for_asnA,_asnC_and_gidA	-
GCA_000017945-FLGBHGLA_03130	K06932	2.1e-70	234.4	233.23	tRNA(Ile2)-agmatinylcytidine_synthase_[EC:6.3.4.22]	high_score
GCA_000017945-FLGBHGLA_03140	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03150	K01933	4e-69	230.2	127.50	phosphoribosylformylglycinamidine_cyclo-ligase_[EC:6.3.3.1]	high_score
GCA_000017945-FLGBHGLA_03160	K09167	3.1e-08	30.5	102.07	uncharacterized_protein	-
GCA_000017945-FLGBHGLA_03170	K01868	3e-24	82.5	124.90	threonyl-tRNA_synthetase_[EC:6.1.1.3]	-
GCA_000017945-FLGBHGLA_03180	K02198	2.8e-99	330.4	469.07	cytochrome_c-type_biogenesis_protein_CcmF	-
GCA_000017945-FLGBHGLA_03190	K01438	3e-77	257.6	294.40	acetylornithine_deacetylase_[EC:3.5.1.16]	-
GCA_000017945-FLGBHGLA_03200	K04084	4.2e-17	58.8	365.90	thiol:disulfide_interchange_protein_DsbD_[EC:1.8.1.8]	-
GCA_000017945-FLGBHGLA_03210	K06982	4.3e-47	157.5	133.23	pantoate_kinase_[EC:2.7.1.169]	high_score
GCA_000017945-FLGBHGLA_03220	K03660	1.1e-20	71.1	118.57	N-glycosylase/DNA_lyase_[EC:3.2.2.-_4.2.99.18]	-
GCA_000017945-FLGBHGLA_03230	K15429	1.6e-57	192.5	171.33	tRNA_(guanine37-N1)-methyltransferase_[EC:2.1.1.228]	high_score
GCA_000017945-FLGBHGLA_03240	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03250	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03260	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03270	K00574	1e-10	38.3	119.83	cyclopropane-fatty-acyl-phospholipid_synthase_[EC:2.1.1.79]	-
GCA_000017945-FLGBHGLA_03280	K03242	1.1e-169	562.0	144.90	translation_initiation_factor_2_subunit_3	high_score
GCA_000017945-FLGBHGLA_03290	K01698	8.4e-143	472.3	46.87	porphobilinogen_synthase_[EC:4.2.1.24]	high_score
GCA_000017945-FLGBHGLA_03300	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03310	K19143	1.6e-66	222.4	77.10	CRISPR-associated_protein_Csx1	high_score
GCA_000017945-FLGBHGLA_03320	K09000	3.6e-52	174.5	97.20	CRISPR-associated_protein_Cmr4	high_score
GCA_000017945-FLGBHGLA_03330	K19076	3e-87	290.7	139.53	CRISPR-associated_protein_Cmr2	high_score
GCA_000017945-FLGBHGLA_03340	K09127	3.5e-17	60.1	57.43	CRISPR-associated_protein_Cmr3	high_score
GCA_000017945-FLGBHGLA_03350	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03360	K01937	1.2e-189	628.4	59.83	CTP_synthase_[EC:6.3.4.2]	high_score
GCA_000017945-FLGBHGLA_03370	K06871	3.7e-38	128.9	156.90	uncharacterized_protein	-
GCA_000017945-FLGBHGLA_03380	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03390	K01588	4.7e-54	179.3	102.87	5-(carboxyamino)imidazole_ribonucleotide_mutase_[EC:5.4.99.18]	high_score
GCA_000017945-FLGBHGLA_03400	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03410	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03420	K05982	1.5e-64	214.5	207.33	deoxyribonuclease_V_[EC:3.1.21.7]	high_score
GCA_000017945-FLGBHGLA_03430	K21268	5e-51	170.5	442.77	hexaprenyl_diphosphate_synthase_[EC:2.5.1.82]	-
GCA_000017945-FLGBHGLA_03440	K01829	7.3e-11	39.2	237.23	protein_disulfide-isomerase_[EC:5.3.4.1]	-
GCA_000017945-FLGBHGLA_03450	K23078	1.9e-68	228.2	295.07	menaquinone_C8-methyltransferase_[EC:2.1.1.350]	-
GCA_000017945-FLGBHGLA_03460	K01595	5.6e-21	71.5	47.67	phosphoenolpyruvate_carboxylase_[EC:4.1.1.31]	high_score
GCA_000017945-FLGBHGLA_03470	K07583	1.3e-85	285.3	79.37	tRNA_pseudouridine_synthase_10_[EC:5.4.99.25]	high_score
GCA_000017945-FLGBHGLA_03480	K01092	8.3e-34	114.2	183.30	myo-inositol-1(or_4)-monophosphatase_[EC:3.1.3.25]	-
GCA_000017945-FLGBHGLA_03490	K01890	2.8e-10	36.6	107.10	phenylalanyl-tRNA_synthetase_beta_chain_[EC:6.1.1.20]	-
GCA_000017945-FLGBHGLA_03500	K07137	5.8e-114	378.5	113.60	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_03510	K01939	4.7e-72	240.0	60.43	adenylosuccinate_synthase_[EC:6.3.4.4]	high_score
GCA_000017945-FLGBHGLA_03520	K01866	1.2e-57	193.1	98.93	tyrosyl-tRNA_synthetase_[EC:6.1.1.1]	high_score
GCA_000017945-FLGBHGLA_03530	K03116	7.7e-16	54.8	53.20	sec-independent_protein_translocase_protein_TatA	high_score
GCA_000017945-FLGBHGLA_03540	K07100	7.3e-50	166.2	82.30	putative_phosphoribosyl_transferase	high_score
GCA_000017945-FLGBHGLA_03550	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03560	K03784	3.4e-57	190.5	204.03	purine-nucleoside_phosphorylase_[EC:2.4.2.1]	-
GCA_000017945-FLGBHGLA_03570	K07448	2.2e-09	34.4	35.27	restriction_system_protein	-
GCA_000017945-FLGBHGLA_03580	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03590	K06206	1.1e-37	126.7	55.10	sugar_fermentation_stimulation_protein_A	high_score
GCA_000017945-FLGBHGLA_03600	K04652	5.3e-69	229.3	162.20	hydrogenase_nickel_incorporation_protein_HypB	high_score
GCA_000017945-FLGBHGLA_03610	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03620	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03630	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03640	K06940	1.1e-12	45.3	28.17	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_03650	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03660	K01934	2e-18	64.2	21.20	5-formyltetrahydrofolate_cyclo-ligase_[EC:6.3.3.2]	high_score
GCA_000017945-FLGBHGLA_03670	K07725	7.4e-15	52.2	73.63	CRISPR-associated_protein_Csa3	-
GCA_000017945-FLGBHGLA_03680	K14163	1.2e-106	354.3	1201.50	bifunctional_glutamyl/prolyl-tRNA_synthetase_[EC:6.1.1.17_6.1.1.15]	-
GCA_000017945-FLGBHGLA_03690	K01622	4.7e-184	608.6	90.83	fructose_1,6-bisphosphate_aldolase/phosphatase_[EC:4.1.2.13_3.1.3.11]	high_score
GCA_000017945-FLGBHGLA_03700	K10381	9.5e-15	49.2	1502.13	desmoplakin	-
GCA_000017945-FLGBHGLA_03710	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03720	K03057	9.2e-13	45.8	85.20	transcription_factor_S	-
GCA_000017945-FLGBHGLA_03730	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03740	K04034	7.3e-35	117.8	260.57	anaerobic_magnesium-protoporphyrin_IX_monomethyl_ester_cyclase_[EC:1.21.98.3]	-
GCA_000017945-FLGBHGLA_03750	K06947	5.4e-32	108.4	140.70	polynucleotide_5'-hydroxyl-kinase_GRC3/NOL9_[EC:2.7.1.-]	-
GCA_000017945-FLGBHGLA_03760	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03770	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03780	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03790	K07566	6.2e-60	199.9	81.50	L-threonylcarbamoyladenylate_synthase_[EC:2.7.7.87]	high_score
GCA_000017945-FLGBHGLA_03800	K03118	7.1e-50	166.6	38.50	sec-independent_protein_translocase_protein_TatC	high_score
GCA_000017945-FLGBHGLA_03810	K01529	1.1e-43	145.9	54.63	inosine/xanthosine_triphosphatase_[EC:3.6.1.-]	high_score
GCA_000017945-FLGBHGLA_03820	K22838	1.4e-63	212.2	554.87	2-acetylphloroglucinol_acetyltransferase_[EC:2.3.1.272]	-
GCA_000017945-FLGBHGLA_03830	K07550	1.3e-42	143.3	525.87	benzoylsuccinyl-CoA_thiolase_BbsB_subunit_[EC:2.3.1.-]	-
GCA_000017945-FLGBHGLA_03840	K07068	3.5e-18	63.1	25.27	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_03850	K00666	4.6e-91	302.9	487.17	fatty-acyl-CoA_synthase_[EC:6.2.1.-]	-
GCA_000017945-FLGBHGLA_03860	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03870	K03298	3e-33	112.5	141.93	drug/metabolite_transporter,_DME_family	-
GCA_000017945-FLGBHGLA_03880	K09148	2e-30	101.8	61.00	uncharacterized_protein	high_score
GCA_000017945-FLGBHGLA_03890	K00058	1e-115	383.5	309.23	D-3-phosphoglycerate_dehydrogenase_/_2-oxoglutarate_reductase_[EC:1.1.1.95_1.1.1.399]	high_score
GCA_000017945-FLGBHGLA_03900	K00013	5.7e-93	309.1	461.60	histidinol_dehydrogenase_[EC:1.1.1.23]	-
GCA_000017945-FLGBHGLA_03910	K01905	2.7e-21	72.5	840.57	acetate---CoA_ligase_(ADP-forming)_subunit_alpha_[EC:6.2.1.13]	-
GCA_000017945-FLGBHGLA_03920	K01905	4.8e-115	382.4	840.57	acetate---CoA_ligase_(ADP-forming)_subunit_alpha_[EC:6.2.1.13]	-
GCA_000017945-FLGBHGLA_03930	K02873	3.8e-15	53.3	43.33	large_subunit_ribosomal_protein_L13e	high_score
GCA_000017945-FLGBHGLA_03940	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03950	K03186	4.1e-51	170.3	112.80	flavin_prenyltransferase_[EC:2.5.1.129]	high_score
GCA_000017945-FLGBHGLA_03960	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03970	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_03980	K08153	3.5e-39	131.7	401.93	MFS_transporter,_DHA1_family,_multidrug_resistance_protein	-
GCA_000017945-FLGBHGLA_03990	K00606	1.7e-117	388.8	53.67	3-methyl-2-oxobutanoate_hydroxymethyltransferase_[EC:2.1.2.11]	high_score
GCA_000017945-FLGBHGLA_04000	K14415	1.4e-169	561.6	242.20	tRNA-splicing_ligase_RtcB_(3'-phosphate/5'-hydroxy_nucleic_acid_ligase)_[EC:6.5.1.8]	high_score
GCA_000017945-FLGBHGLA_04010	K03455	3.2e-13	46.1	144.57	monovalent_cation:H+_antiporter-2,_CPA2_family	-
GCA_000017945-FLGBHGLA_04020	K05520	1.7e-50	168.4	149.20	protease_I_[EC:3.5.1.124]	high_score
GCA_000017945-FLGBHGLA_04030	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_04040	K22227	1.3e-82	274.6	341.43	heme_synthase	-
GCA_000017945-FLGBHGLA_04050	K01468	1.6e-07	27.4	103.73	imidazolonepropionase_[EC:3.5.2.7]	-
GCA_000017945-FLGBHGLA_04060	K23144	1.1e-22	77.3	417.77	UDP-N-acetylglucosamine_diphosphorylase_/_glucose-1-phosphate_thymidylyltransferase_/_UDP-N-acetylgalactosamine_diphosphorylase_/_glucosamine-1-phosphate_N-acetyltransferase_/_galactosamine-1-phosphate_N-acetyltransferase_[EC:2.7.7.23_2.7.7.24_2.7.7.83_2.3.1.157_2.3.1.276]	-
GCA_000017945-FLGBHGLA_04070	K01756	1.3e-112	373.9	266.43	adenylosuccinate_lyase_[EC:4.3.2.2]	high_score
GCA_000017945-FLGBHGLA_04080	K03926	1.1e-32	109.3	40.03	periplasmic_divalent_cation_tolerance_protein	high_score
GCA_000017945-FLGBHGLA_04090	K02435	5.7e-14	49.7	18.70	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln)_amidotransferase_subunit_C_[EC:6.3.5.6_6.3.5.7]	high_score
GCA_000017945-FLGBHGLA_04100	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_04110	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_04120	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_04130	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_04140	K00812	1.4e-73	245.2	450.30	aspartate_aminotransferase_[EC:2.6.1.1]	-
GCA_000017945-FLGBHGLA_04150	K22081	1e-73	245.3	246.37	methylamine---glutamate_N-methyltransferase_subunit_A_[EC:2.1.1.21]	-
GCA_000017945-FLGBHGLA_04160	K22083	1e-148	492.5	597.17	methylamine---glutamate_N-methyltransferase_subunit_C_[EC:2.1.1.21]	-
GCA_000017945-FLGBHGLA_04170	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_04180	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_04190	K01069	1.7e-20	70.5	103.63	hydroxyacylglutathione_hydrolase_[EC:3.1.2.6]	-
GCA_000017945-FLGBHGLA_04200	-	-	-	-	-	-
GCA_000017945-FLGBHGLA_04210	K03151	1.2e-17	61.1	113.87	tRNA_uracil_4-sulfurtransferase_[EC:2.8.1.4]	-
GCA_000017945-FLGBHGLA_04220	K04654	2.9e-126	418.3	96.40	hydrogenase_expression/formation_protein_HypD	high_score
GCA_000017945-FLGBHGLA_04230	K07562	9.6e-24	81.2	40.60	nonsense-mediated_mRNA_decay_protein_3	high_score
GCA_000017945-FLGBHGLA_04240	K06859	4.1e-46	153.9	77.17	glucose-6-phosphate_isomerase,_archaeal_[EC:5.3.1.9]	high_score
GCA_000017945-FLGBHGLA_04250	K17105	1.7e-79	263.9	186.47	geranylgeranylglycerol-phosphate_geranylgeranyltransferase_[EC:2.5.1.42]	high_score
GCA_000017945-FLGBHGLA_04260	K03622	6.4e-18	61.6	60.43	archaea-specific_DNA-binding_protein	high_score
GCA_000017945-FLGBHGLA_04270	K03170	5.6e-304	1008.1	527.97	reverse_gyrase_[EC:5.6.2.2_3.6.4.12]	high_score
GCA_000017945-FLGBHGLA_04280	K12880	1.6e-12	44.0	178.60	THO_complex_subunit_3	-
GCA_000017945-FLGBHGLA_04290	K03389	4.2e-61	204.0	298.70	heterodisulfide_reductase_subunit_B2_[EC:1.8.7.3_1.8.98.4_1.8.98.5_1.8.98.6]	-
