accession	TIRGR	TIGR_description	EC	TIGR_Evalue
GCA_000017945-FLGBHGLA_04340	TIGR01769	phosphoglycerol_geranylgeranyltransferase	2.5.1.41	4.6e-65
GCA_000017945-FLGBHGLA_04350	-	-	-	-
GCA_000017945-FLGBHGLA_04360	-	-	-	-
GCA_000017945-FLGBHGLA_04370	TIGR00021	ribose_5-phosphate_isomerase_A	5.3.1.6	6.4e-47
GCA_000017945-FLGBHGLA_04380	-	-	-	-
GCA_000017945-FLGBHGLA_04390	-	-	-	-
GCA_000017945-FLGBHGLA_04400	-	-	-	-
GCA_000017945-FLGBHGLA_04410	-	-	-	-
GCA_000017945-FLGBHGLA_04420	TIGR00262	tryptophan_synthase,_alpha_subunit	4.2.1.20	5.8e-29
GCA_000017945-FLGBHGLA_04430	-	-	-	-
GCA_000017945-FLGBHGLA_04440	-	-	-	-
GCA_000017945-FLGBHGLA_04450	-	-	-	-
GCA_000017945-FLGBHGLA_04460	-	-	-	-
GCA_000017945-FLGBHGLA_04470	-	-	-	-
GCA_000017945-FLGBHGLA_04480	-	-	-	-
GCA_000017945-FLGBHGLA_04490	TIGR03903	TOMM_system_kinase/cyclase_fusion_protein	-	1.4e-07
GCA_000017945-FLGBHGLA_04500	TIGR02169	chromosome_segregation_protein_SMC	-	8.7e-07
GCA_000017945-FLGBHGLA_04510	-	-	-	-
GCA_000017945-FLGBHGLA_04520	TIGR04178	exosortase/archaeosortase_family_protein	-	1.9e-08
GCA_000017945-FLGBHGLA_04530	TIGR04182	glycosyltransferase,_TIGR04182_family	-	3.2e-18
GCA_000017945-FLGBHGLA_04540	TIGR01787	squalene/oxidosqualene_cyclases	5.4.-.-	3e-14
GCA_000017945-FLGBHGLA_04550	-	-	-	-
GCA_000017945-FLGBHGLA_04560	-	-	-	-
GCA_000017945-FLGBHGLA_04570	TIGR01302	inosine-5'-monophosphate_dehydrogenase	1.1.1.205	8.3e-10
GCA_000017945-FLGBHGLA_04580	TIGR00384	succinate_dehydrogenase_and_fumarate_reductase_iron-sulfur_protein	-	1.2e-62
GCA_000017945-FLGBHGLA_04590	-	-	-	-
GCA_000017945-FLGBHGLA_04600	-	-	-	-
GCA_000017945-FLGBHGLA_04610	-	-	-	-
GCA_000017945-FLGBHGLA_04620	TIGR01293	voltage-dependent_potassium_channel_beta_subunit	-	5.8e-11
GCA_000017945-FLGBHGLA_04630	-	-	-	-
GCA_000017945-FLGBHGLA_04640	-	-	-	-
GCA_000017945-FLGBHGLA_04650	TIGR03685	50S_ribosomal_protein_P1	-	4.2e-42
GCA_000017945-FLGBHGLA_04660	-	-	-	-
GCA_000017945-FLGBHGLA_04670	TIGR03633	proteasome_endopeptidase_complex,_archaeal,_alpha_subunit	3.4.25.1	1.8e-96
GCA_000017945-FLGBHGLA_04680	TIGR02711	cation/acetate_symporter_ActP	-	1.5e-81
GCA_000017945-FLGBHGLA_04690	-	-	-	-
GCA_000017945-FLGBHGLA_04700	-	-	-	-
GCA_000017945-FLGBHGLA_04710	TIGR01475	putative_4-hydroxybenzoate_polyprenyltransferase	2.5.1.-	2.2e-64
GCA_000017945-FLGBHGLA_04720	TIGR02495	anaerobic_ribonucleoside-triphosphate_reductase_activating_protein	1.97.-.-	5.2e-40
GCA_000017945-FLGBHGLA_04730	TIGR03137	peroxiredoxin	1.11.1.15	7.8e-32
GCA_000017945-FLGBHGLA_04740	TIGR02580	CRISPR_type_III-B/RAMP_module_RAMP_protein_Cmr4	-	7.7e-45
GCA_000017945-FLGBHGLA_04750	TIGR01881	CRISPR_type_III-B/RAMP_module-associated_protein_Cmr5	-	3.3e-06
GCA_000017945-FLGBHGLA_04760	TIGR01898	CRISPR_type_III-B/RAMP_module_RAMP_protein_Cmr6	-	1.3e-17
GCA_000017945-FLGBHGLA_04770	TIGR02577	CRISPR-associated_protein_Cas10/Cmr2,_subtype_III-B	-	2.8e-16
GCA_000017945-FLGBHGLA_04780	TIGR01888	CRISPR_type_III-B/RAMP_module-associated_protein_Cmr3	-	1e-07
GCA_000017945-FLGBHGLA_04790	TIGR00467	lysine--tRNA_ligase	6.1.1.6	6.3e-106
GCA_000017945-FLGBHGLA_04800	TIGR00566	glutamine_amidotransferase_of_anthranilate_synthase_or_aminodeoxychorismate_synthase	-	3.5e-46
GCA_000017945-FLGBHGLA_04810	TIGR00372	CRISPR-associated_protein_Cas4	-	1.4e-19
GCA_000017945-FLGBHGLA_04820	-	-	-	-
GCA_000017945-FLGBHGLA_04830	-	-	-	-
GCA_000017945-FLGBHGLA_04840	TIGR02857	thiol_reductant_ABC_exporter,_CydD_subunit	-	5.6e-20
GCA_000017945-FLGBHGLA_04850	TIGR02141	molybdate_ABC_transporter,_permease_protein	-	5.3e-21
GCA_000017945-FLGBHGLA_04860	-	-	-	-
GCA_000017945-FLGBHGLA_04870	-	-	-	-
GCA_000017945-FLGBHGLA_04880	-	-	-	-
GCA_000017945-FLGBHGLA_04890	TIGR02155	phenylacetate-CoA_ligase	6.2.1.30	2.9e-33
GCA_000017945-FLGBHGLA_04900	TIGR00533	hydroxymethylglutaryl-CoA_reductase_(NADPH)	1.1.1.34	2e-155
GCA_000017945-FLGBHGLA_04910	-	-	-	-
GCA_000017945-FLGBHGLA_04920	TIGR00432	tRNA-guanine(15)_transglycosylase	2.4.2.48	8.6e-75
GCA_000017945-FLGBHGLA_04930	TIGR02212	lipoprotein_releasing_system,_transmembrane_protein,_LolC/E_family	-	1.5e-24
GCA_000017945-FLGBHGLA_04940	TIGR03900	putative_carboxyl-terminal-processing_protease,_deltaproteobacterial	3.4.21.-	3.6e-07
GCA_000017945-FLGBHGLA_04950	-	-	-	-
GCA_000017945-FLGBHGLA_04960	-	-	-	-
GCA_000017945-FLGBHGLA_04970	TIGR01470	siroheme_synthase,_N-terminal_domain	-	1.1e-23
GCA_000017945-FLGBHGLA_04980	-	-	-	-
GCA_000017945-FLGBHGLA_04990	-	-	-	-
GCA_000017945-FLGBHGLA_05000	-	-	-	-
GCA_000017945-FLGBHGLA_05010	TIGR00270	TIGR00270_family_protein	-	6.8e-32
GCA_000017945-FLGBHGLA_05020	TIGR04055	putative_heme_d1_biosynthesis_radical_SAM_protein_NirJ2	1.3.99.-	7.7e-80
GCA_000017945-FLGBHGLA_05030	TIGR02493	pyruvate_formate-lyase_1-activating_enzyme	1.97.1.4	8e-10
GCA_000017945-FLGBHGLA_05040	TIGR02427	3-oxoadipate_enol-lactonase	3.1.1.24	1.5e-06
GCA_000017945-FLGBHGLA_05050	TIGR02124	hydrogenase_expression/formation_protein_HypE	-	7.7e-107
GCA_000017945-FLGBHGLA_05060	-	-	-	-
GCA_000017945-FLGBHGLA_05070	-	-	-	-
GCA_000017945-FLGBHGLA_05080	-	-	-	-
GCA_000017945-FLGBHGLA_05090	TIGR01884	CRISPR_locus-related_DNA-binding_protein	-	2.9e-09
GCA_000017945-FLGBHGLA_05100	TIGR00336	orotate_phosphoribosyltransferase	2.4.2.10	5.5e-41
GCA_000017945-FLGBHGLA_05110	TIGR00676	methylenetetrahydrofolate_reductase_[NAD(P)H]	1.5.1.20	9.7e-11
GCA_000017945-FLGBHGLA_05120	TIGR00393	sugar_isomerase,_KpsF/GutQ_family	-	8.5e-12
GCA_000017945-FLGBHGLA_05130	-	-	-	-
GCA_000017945-FLGBHGLA_05140	-	-	-	-
GCA_000017945-FLGBHGLA_05150	-	-	-	-
GCA_000017945-FLGBHGLA_05160	-	-	-	-
GCA_000017945-FLGBHGLA_05170	-	-	-	-
GCA_000017945-FLGBHGLA_05180	-	-	-	-
GCA_000017945-FLGBHGLA_05190	TIGR00072	hydrogenase_maturation_protease	-	4.2e-21
GCA_000017945-FLGBHGLA_05200	-	-	-	-
GCA_000017945-FLGBHGLA_05210	TIGR00269	TIGR00269_family_protein	-	1.3e-20
GCA_000017945-FLGBHGLA_05220	TIGR00318	putative_adenylyl_cyclase_CyaB	-	6.4e-33
GCA_000017945-FLGBHGLA_05230	-	-	-	-
GCA_000017945-FLGBHGLA_05240	TIGR00489	translation_elongation_factor_aEF-1_beta	-	1.2e-21
GCA_000017945-FLGBHGLA_05250	-	-	-	-
GCA_000017945-FLGBHGLA_05260	TIGR02651	ribonuclease_Z	3.1.26.11	7.3e-06
GCA_000017945-FLGBHGLA_05270	TIGR01035	glutamyl-tRNA_reductase	1.2.1.70	2.5e-92
GCA_000017945-FLGBHGLA_05280	-	-	-	-
GCA_000017945-FLGBHGLA_05290	-	-	-	-
GCA_000017945-FLGBHGLA_05300	-	-	-	-
GCA_000017945-FLGBHGLA_05310	-	-	-	-
GCA_000017945-FLGBHGLA_05320	TIGR01054	reverse_gyrase	3.6.4.12|5.99.1.3	0
GCA_000017945-FLGBHGLA_05330	TIGR03817	helicase/secretion_neighborhood_putative_DEAH-box_helicase	-	5.1e-30
GCA_000017945-FLGBHGLA_05340	-	-	-	-
GCA_000017945-FLGBHGLA_05350	TIGR00524	eIF-2B_alpha/beta/delta-related_uncharacterized_proteins	-	7.6e-127
GCA_000017945-FLGBHGLA_05360	-	-	-	-
GCA_000017945-FLGBHGLA_05370	TIGR01910	peptidase,_ArgE/DapE_family	3.4.-.-	5.8e-71
GCA_000017945-FLGBHGLA_05380	-	-	-	-
GCA_000017945-FLGBHGLA_05390	-	-	-	-
GCA_000017945-FLGBHGLA_05400	-	-	-	-
GCA_000017945-FLGBHGLA_05410	TIGR00040	phosphodiesterase,_MJ0936_family	3.1.-.-	2.1e-11
GCA_000017945-FLGBHGLA_05420	-	-	-	-
GCA_000017945-FLGBHGLA_05430	-	-	-	-
GCA_000017945-FLGBHGLA_05440	-	-	-	-
GCA_000017945-FLGBHGLA_05450	TIGR03149	cytochrome_c_nitrite_reductase,_Fe-S_protein	1.7.2.2	4.1e-34
GCA_000017945-FLGBHGLA_05460	-	-	-	-
GCA_000017945-FLGBHGLA_05470	TIGR00033	chorismate_synthase	4.2.3.5	9.8e-125
GCA_000017945-FLGBHGLA_05480	TIGR03399	RNA_3'-phosphate_cyclase	6.5.1.4	2.9e-131
GCA_000017945-FLGBHGLA_05490	TIGR00706	signal_peptide_peptidase_SppA,_36K_type	3.4.-.-	2.1e-09
GCA_000017945-FLGBHGLA_05500	-	-	-	-
GCA_000017945-FLGBHGLA_05510	TIGR03921	type_VII_secretion-associated_serine_protease_mycosin	3.4.21.-	5.4e-24
GCA_000017945-FLGBHGLA_05520	-	-	-	-
GCA_000017945-FLGBHGLA_05530	-	-	-	-
GCA_000017945-FLGBHGLA_05540	-	-	-	-
GCA_000017945-FLGBHGLA_05550	-	-	-	-
GCA_000017945-FLGBHGLA_05560	TIGR00935	arsenite/antimonite_efflux_pump_membrane_protein	-	1.2e-13
GCA_000017945-FLGBHGLA_05570	TIGR01920	shikimate_kinase	2.7.1.71	5.9e-69
GCA_000017945-FLGBHGLA_05580	-	-	-	-
GCA_000017945-FLGBHGLA_05590	TIGR01962	NADH_dehydrogenase_(quinone),_D_subunit	1.6.99.5	2.9e-93
GCA_000017945-FLGBHGLA_05600	TIGR01957	NADH-quinone_oxidoreductase,_B_subunit	-	1.9e-42
GCA_000017945-FLGBHGLA_05610	-	-	-	-
GCA_000017945-FLGBHGLA_05620	TIGR01972	proton-translocating_NADH-quinone_oxidoreductase,_chain_M	-	2.1e-97
GCA_000017945-FLGBHGLA_05630	TIGR01974	proton-translocating_NADH-quinone_oxidoreductase,_chain_L	1.6.-.-	9.7e-128
GCA_000017945-FLGBHGLA_05640	-	-	-	-
GCA_000017945-FLGBHGLA_05650	-	-	-	-
GCA_000017945-FLGBHGLA_05660	-	-	-	-
GCA_000017945-FLGBHGLA_05670	-	-	-	-
GCA_000017945-FLGBHGLA_05680	TIGR03608	putative_bacteriocin_export_ABC_transporter,_lactococcin_972_group	-	1.3e-23
GCA_000017945-FLGBHGLA_05690	TIGR00148	decarboxylase,_UbiD_family	4.1.1.-	1.3e-88
GCA_000017945-FLGBHGLA_05700	-	-	-	-
GCA_000017945-FLGBHGLA_05710	TIGR01575	ribosomal-protein-alanine_acetyltransferase	2.3.1.128	5.2e-25
GCA_000017945-FLGBHGLA_05720	TIGR00521	phosphopantothenoylcysteine_decarboxylase_/_phosphopantothenate--cysteine_ligase	4.1.1.36|6.3.2.5	4.8e-93
GCA_000017945-FLGBHGLA_05730	-	-	-	-
GCA_000017945-FLGBHGLA_05740	-	-	-	-
GCA_000017945-FLGBHGLA_05750	-	-	-	-
GCA_000017945-FLGBHGLA_05760	-	-	-	-
GCA_000017945-FLGBHGLA_05770	TIGR00200	competence/damage-inducible_protein_CinA_N-terminal_domain	-	4.4e-34
GCA_000017945-FLGBHGLA_05780	TIGR00292	thiazole_biosynthesis_enzyme	-	6.8e-81
GCA_000017945-FLGBHGLA_05790	-	-	-	-
GCA_000017945-FLGBHGLA_05800	-	-	-	-
GCA_000017945-FLGBHGLA_05810	-	-	-	-
GCA_000017945-FLGBHGLA_05820	TIGR04337	AmmeMemoRadiSam_system_radical_SAM_enzyme	-	8e-98
GCA_000017945-FLGBHGLA_05830	-	-	-	-
GCA_000017945-FLGBHGLA_05840	-	-	-	-
GCA_000017945-FLGBHGLA_05850	TIGR01969	cell_division_ATPase_MinD	-	2e-11
GCA_000017945-FLGBHGLA_05860	TIGR00761	acetylglutamate_kinase	2.7.2.8	1.2e-09
GCA_000017945-FLGBHGLA_05870	-	-	-	-
GCA_000017945-FLGBHGLA_05880	TIGR00389	glycine--tRNA_ligase	6.1.1.14	2e-191
GCA_000017945-FLGBHGLA_05890	-	-	-	-
GCA_000017945-FLGBHGLA_05900	-	-	-	-
GCA_000017945-FLGBHGLA_05910	TIGR01536	asparagine_synthase_(glutamine-hydrolyzing)	6.3.5.4	5.4e-113
GCA_000017945-FLGBHGLA_05920	TIGR03701	menaquinone_biosynthesis_decarboxylase,_SCO4490_family	-	4.7e-145
GCA_000017945-FLGBHGLA_05930	TIGR00074	hydrogenase_assembly_chaperone_HypC/HupF	-	5e-19
GCA_000017945-FLGBHGLA_05940	TIGR00909	amino_acid_transporter	-	1.7e-47
GCA_000017945-FLGBHGLA_05950	-	-	-	-
GCA_000017945-FLGBHGLA_05960	-	-	-	-
GCA_000017945-FLGBHGLA_05970	-	-	-	-
GCA_000017945-FLGBHGLA_05980	-	-	-	-
GCA_000017945-FLGBHGLA_05990	TIGR01575	ribosomal-protein-alanine_acetyltransferase	2.3.1.128	2.9e-34
GCA_000017945-FLGBHGLA_06000	-	-	-	-
GCA_000017945-FLGBHGLA_06010	TIGR01136	cysteine_synthase	2.5.1.47	7.3e-89
GCA_000017945-FLGBHGLA_06020	-	-	-	-
GCA_000017945-FLGBHGLA_06030	TIGR02729	Obg_family_GTPase_CgtA	-	3.7e-19
GCA_000017945-FLGBHGLA_06040	TIGR02032	geranylgeranyl_reductase_family	1.3.1.-	2.3e-25
GCA_000017945-FLGBHGLA_06050	-	-	-	-
GCA_000017945-FLGBHGLA_06060	TIGR00576	dUTP_diphosphatase	3.6.1.23	4.2e-40
GCA_000017945-FLGBHGLA_06070	TIGR00055	di-trans,poly-cis-decaprenylcistransferase	2.5.1.31	4.6e-81
GCA_000017945-FLGBHGLA_06080	TIGR01242	26S_proteasome_subunit_P45_family	-	2.5e-173
GCA_000017945-FLGBHGLA_06090	TIGR01025	ribosomal_protein_uS19	-	1.1e-59
GCA_000017945-FLGBHGLA_06100	TIGR01038	ribosomal_protein_uL22	-	4.6e-63
GCA_000017945-FLGBHGLA_06110	TIGR01008	ribosomal_protein_uS3	-	3.1e-72
GCA_000017945-FLGBHGLA_06120	TIGR00012	ribosomal_protein_uL29	-	9.3e-22
GCA_000017945-FLGBHGLA_06130	-	-	-	-
GCA_000017945-FLGBHGLA_06140	-	-	-	-
GCA_000017945-FLGBHGLA_06150	-	-	-	-
GCA_000017945-FLGBHGLA_06160	TIGR02309	4-hydroxyphenylacetate_3-monooxygenase,_oxygenase_component	1.14.14.9	2e-41
GCA_000017945-FLGBHGLA_06170	TIGR00857	dihydroorotase,_multifunctional_complex_type	3.5.2.3	3.9e-82
GCA_000017945-FLGBHGLA_06180	-	-	-	-
GCA_000017945-FLGBHGLA_06190	TIGR01302	inosine-5'-monophosphate_dehydrogenase	1.1.1.205	1.3e-17
GCA_000017945-FLGBHGLA_06200	-	-	-	-
GCA_000017945-FLGBHGLA_06210	TIGR01134	amidophosphoribosyltransferase	2.4.2.14	5.3e-72
GCA_000017945-FLGBHGLA_06220	TIGR03294	coenzyme_F420_hydrogenase,_subunit_gamma	1.12.98.1	4.1e-12
GCA_000017945-FLGBHGLA_06230	-	-	-	-
GCA_000017945-FLGBHGLA_06240	TIGR00264	alpha-NAC_homolog	-	2.1e-25
GCA_000017945-FLGBHGLA_06250	TIGR03675	arCOG00543_universal_archaeal_KH-domain/beta-lactamase-domain_protein	-	7.9e-88
GCA_000017945-FLGBHGLA_06260	-	-	-	-
GCA_000017945-FLGBHGLA_06270	TIGR00296	uncharacterized_protein,_PH0010_family	-	1.3e-57
GCA_000017945-FLGBHGLA_06280	TIGR02135	phosphate_transport_system_regulatory_protein_PhoU	-	3.7e-35
GCA_000017945-FLGBHGLA_06290	TIGR00465	ketol-acid_reductoisomerase	1.1.1.86	2e-127
GCA_000017945-FLGBHGLA_06300	-	-	-	-
GCA_000017945-FLGBHGLA_06310	-	-	-	-
GCA_000017945-FLGBHGLA_06320	TIGR00590	proliferating_cell_nuclear_antigen_(pcna)	-	6.5e-24
GCA_000017945-FLGBHGLA_06330	TIGR03330	S-adenosylmethionine_decarboxylase_proenzyme	4.1.1.50	1e-37
GCA_000017945-FLGBHGLA_06340	-	-	-	-
GCA_000017945-FLGBHGLA_06350	-	-	-	-
GCA_000017945-FLGBHGLA_06360	-	-	-	-
GCA_000017945-FLGBHGLA_06370	TIGR04122	putative_exonuclease,_DNA_ligase-associated	-	1.6e-14
GCA_000017945-FLGBHGLA_06380	TIGR03634	proteasome_endopeptidase_complex,_archaeal,_beta_subunit	3.4.25.1	7e-71
GCA_000017945-FLGBHGLA_06390	TIGR01292	thioredoxin-disulfide_reductase	1.8.1.9	3.4e-54
GCA_000017945-FLGBHGLA_06400	-	-	-	-
GCA_000017945-FLGBHGLA_06410	TIGR01177	putative_methyltransferase,_TIGR01177_family	-	7.5e-61
GCA_000017945-FLGBHGLA_06420	TIGR03567	FMN_reductase	1.5.1.38	1.7e-07
GCA_000017945-FLGBHGLA_06430	TIGR00761	acetylglutamate_kinase	2.7.2.8	1.3e-55
GCA_000017945-FLGBHGLA_06440	TIGR03026	nucleotide_sugar_dehydrogenase	-	7.6e-133
GCA_000017945-FLGBHGLA_06450	TIGR00236	UDP-N-acetylglucosamine_2-epimerase	5.1.3.14	2.4e-103
GCA_000017945-FLGBHGLA_06460	TIGR04076	TIGR04076_family_protein	-	5.5e-17
GCA_000017945-FLGBHGLA_06470	-	-	-	-
GCA_000017945-FLGBHGLA_06480	-	-	-	-
GCA_000017945-FLGBHGLA_06490	-	-	-	-
GCA_000017945-FLGBHGLA_06500	-	-	-	-
GCA_000017945-FLGBHGLA_06510	TIGR03989	NDMA-dependent_alcohol_dehydrogenase,_Rxyl_3153_family	1.1.99.36	2.3e-18
GCA_000017945-FLGBHGLA_06520	-	-	-	-
GCA_000017945-FLGBHGLA_06530	TIGR04054	putative_heme_d1_biosynthesis_radical_SAM_protein_NirJ1	-	1.5e-87
GCA_000017945-FLGBHGLA_06540	TIGR00321	deoxyhypusine_synthase	2.5.1.46	4.1e-77
GCA_000017945-FLGBHGLA_06550	TIGR00063	GTP_cyclohydrolase_I	3.5.4.16	4.5e-47
GCA_000017945-FLGBHGLA_06560	TIGR00417	spermidine_synthase	2.5.1.16	9.7e-78
GCA_000017945-FLGBHGLA_06570	-	-	-	-
GCA_000017945-FLGBHGLA_06580	TIGR00032	argininosuccinate_synthase	6.3.4.5	1e-157
GCA_000017945-FLGBHGLA_06590	TIGR01877	CRISPR-associated_endoribonuclease_Cas6	3.1.-.-	1.9e-06
GCA_000017945-FLGBHGLA_06600	TIGR00884	GMP_synthase_(glutamine-hydrolyzing),_C-terminal_domain	6.3.5.2	4.2e-91
GCA_000017945-FLGBHGLA_06610	-	-	-	-
GCA_000017945-FLGBHGLA_06620	-	-	-	-
GCA_000017945-FLGBHGLA_06630	-	-	-	-
GCA_000017945-FLGBHGLA_06640	TIGR00550	quinolinate_synthetase_complex,_A_subunit	2.5.1.72	1.2e-93
GCA_000017945-FLGBHGLA_06650	-	-	-	-
GCA_000017945-FLGBHGLA_06660	-	-	-	-
GCA_000017945-FLGBHGLA_06670	-	-	-	-
GCA_000017945-FLGBHGLA_06680	TIGR00977	citramalate_synthase	2.3.1.182	5.5e-194
GCA_000017945-FLGBHGLA_06690	TIGR01968	septum_site-determining_protein_MinD	-	8.8e-07
GCA_000017945-FLGBHGLA_06700	TIGR02135	phosphate_transport_system_regulatory_protein_PhoU	-	5.6e-06
GCA_000017945-FLGBHGLA_06710	TIGR01302	inosine-5'-monophosphate_dehydrogenase	1.1.1.205	1.1e-16
GCA_000017945-FLGBHGLA_06720	TIGR01457	HAD_hydrolase,_TIGR01457_family	-	7.5e-45
GCA_000017945-FLGBHGLA_06730	-	-	-	-
GCA_000017945-FLGBHGLA_06740	TIGR03670	DNA-directed_RNA_polymerase_subunit_B	2.7.7.6	1.9e-291
GCA_000017945-FLGBHGLA_06750	-	-	-	-
GCA_000017945-FLGBHGLA_06760	-	-	-	-
GCA_000017945-FLGBHGLA_06770	-	-	-	-
GCA_000017945-FLGBHGLA_06780	TIGR01302	inosine-5'-monophosphate_dehydrogenase	1.1.1.205	2.5e-11
GCA_000017945-FLGBHGLA_06790	-	-	-	-
GCA_000017945-FLGBHGLA_06800	TIGR00522	diphthine_synthase	2.1.1.98	2e-41
GCA_000017945-FLGBHGLA_06810	TIGR02606	putative_addiction_module_antidote_protein,_CC2985_family	-	7.9e-08
GCA_000017945-FLGBHGLA_06820	TIGR00112	pyrroline-5-carboxylate_reductase	1.5.1.2	4.1e-39
GCA_000017945-FLGBHGLA_06830	-	-	-	-
GCA_000017945-FLGBHGLA_06840	-	-	-	-
GCA_000017945-FLGBHGLA_06850	TIGR00318	putative_adenylyl_cyclase_CyaB	-	1.1e-07
GCA_000017945-FLGBHGLA_06860	-	-	-	-
GCA_000017945-FLGBHGLA_06870	TIGR01902	N-acetyl-ornithine/N-acetyl-lysine_deacetylase	-	2.7e-69
GCA_000017945-FLGBHGLA_06880	TIGR02619	putative_CRISPR-associated_protein,_APE2256_family	-	2.1e-25
GCA_000017945-FLGBHGLA_06890	-	-	-	-
GCA_000017945-FLGBHGLA_06900	-	-	-	-
GCA_000017945-FLGBHGLA_06910	-	-	-	-
GCA_000017945-FLGBHGLA_06920	-	-	-	-
GCA_000017945-FLGBHGLA_06930	TIGR02537	archaeal_flagellin_N-terminal-like_domain	-	4.4e-07
GCA_000017945-FLGBHGLA_06940	TIGR03385	CoA-disulfide_reductase	1.8.1.14	5.6e-133
GCA_000017945-FLGBHGLA_06950	-	-	-	-
GCA_000017945-FLGBHGLA_06960	TIGR03169	pyridine_nucleotide-disulfide_oxidoreductase_family_protein	-	5.5e-18
GCA_000017945-FLGBHGLA_06970	TIGR00143	carbamoyltransferase_HypF	-	3.8e-216
GCA_000017945-FLGBHGLA_06980	TIGR03724	Kae1-associated_kinase_Bud32	2.7.-.-	9.5e-09
GCA_000017945-FLGBHGLA_06990	TIGR00523	translation_initiation_factor_eIF-1A	-	6.2e-27
GCA_000017945-FLGBHGLA_07000	-	-	-	-
GCA_000017945-FLGBHGLA_07010	TIGR00722	hydrolyase,_tartrate_alpha_subunit/fumarate_domain_protein,_Fe-S_type	-	1.4e-86
GCA_000017945-FLGBHGLA_07020	TIGR01041	ATP_synthase_archaeal,_B_subunit	3.6.3.14	1.5e-250
GCA_000017945-FLGBHGLA_07030	TIGR00309	V-type_ATPase,_D_subunit	3.6.3.14	2.2e-37
GCA_000017945-FLGBHGLA_07040	-	-	-	-
GCA_000017945-FLGBHGLA_07050	-	-	-	-
GCA_000017945-FLGBHGLA_07060	TIGR00713	glutamate-1-semialdehyde-2,1-aminomutase	5.4.3.8	2.8e-175
GCA_000017945-FLGBHGLA_07070	TIGR00212	hydroxymethylbilane_synthase	2.5.1.61	7.8e-92
GCA_000017945-FLGBHGLA_07080	-	-	-	-
GCA_000017945-FLGBHGLA_07090	TIGR03330	S-adenosylmethionine_decarboxylase_proenzyme	4.1.1.50	1.7e-39
GCA_000017945-FLGBHGLA_07100	-	-	-	-
GCA_000017945-FLGBHGLA_07110	-	-	-	-
GCA_000017945-FLGBHGLA_07120	TIGR03964	mycofactocin_system_creatininase_family_protein	-	9.8e-34
GCA_000017945-FLGBHGLA_07130	TIGR00592	DNA_polymerase_(pol2)	2.7.7.7	8.3e-50
GCA_000017945-FLGBHGLA_07140	TIGR03674	flap_structure-specific_endonuclease	3.1.-.-	9e-150
GCA_000017945-FLGBHGLA_07150	-	-	-	-
GCA_000017945-FLGBHGLA_07160	TIGR01243	AAA_family_ATPase,_CDC48_subfamily	-	0
GCA_000017945-FLGBHGLA_07170	-	-	-	-
GCA_000017945-FLGBHGLA_07180	-	-	-	-
GCA_000017945-FLGBHGLA_07190	TIGR00419	triose-phosphate_isomerase	5.3.1.1	1.8e-47
GCA_000017945-FLGBHGLA_07200	TIGR00291	rRNA_metabolism_protein,_SBDS_family	-	3.5e-80
GCA_000017945-FLGBHGLA_07210	TIGR02668	probable_molybdenum_cofactor_biosynthesis_protein_A	-	6.1e-100
GCA_000017945-FLGBHGLA_07220	-	-	-	-
GCA_000017945-FLGBHGLA_07230	-	-	-	-
GCA_000017945-FLGBHGLA_07240	-	-	-	-
GCA_000017945-FLGBHGLA_07250	-	-	-	-
GCA_000017945-FLGBHGLA_07260	TIGR00106	uncharacterized_protein,_MTH1187_family	-	4.2e-21
GCA_000017945-FLGBHGLA_07270	TIGR01203	hypoxanthine_phosphoribosyltransferase	2.4.2.8	2e-08
GCA_000017945-FLGBHGLA_07280	TIGR02032	geranylgeranyl_reductase_family	1.3.1.-	3.5e-37
GCA_000017945-FLGBHGLA_07290	TIGR01884	CRISPR_locus-related_DNA-binding_protein	-	1.5e-06
GCA_000017945-FLGBHGLA_07300	TIGR02432	tRNA(Ile)-lysidine_synthetase	6.3.4.-	1.5e-16
GCA_000017945-FLGBHGLA_07310	TIGR00089	radical_SAM_methylthiotransferase,_MiaB/RimO_family	2.1.1.-|2.8.1.-	3.8e-09
GCA_000017945-FLGBHGLA_07320	-	-	-	-
GCA_000017945-FLGBHGLA_07330	TIGR04548	DnaD_family_protein	-	2.9e-06
GCA_000017945-FLGBHGLA_07340	-	-	-	-
GCA_000017945-FLGBHGLA_07350	-	-	-	-
GCA_000017945-FLGBHGLA_07360	TIGR00590	proliferating_cell_nuclear_antigen_(pcna)	-	2.3e-22
GCA_000017945-FLGBHGLA_07370	-	-	-	-
GCA_000017945-FLGBHGLA_07380	TIGR03743	conjugative_coupling_factor_TraD,_SXT/TOL_subfamily	-	1.8e-07
GCA_000017945-FLGBHGLA_07390	-	-	-	-
GCA_000017945-FLGBHGLA_07400	TIGR02055	adenylylsulfate_reductase,_thioredoxin_dependent	1.8.4.10	8e-18
GCA_000017945-FLGBHGLA_07410	-	-	-	-
GCA_000017945-FLGBHGLA_07420	-	-	-	-
GCA_000017945-FLGBHGLA_07430	TIGR00283	peptidyl-tRNA_hydrolase	3.1.1.29	1.5e-46
GCA_000017945-FLGBHGLA_07440	-	-	-	-
GCA_000017945-FLGBHGLA_07450	TIGR01007	capsular_exopolysaccharide_family	-	1.9e-11
GCA_000017945-FLGBHGLA_07460	-	-	-	-
GCA_000017945-FLGBHGLA_07470	-	-	-	-
GCA_000017945-FLGBHGLA_07480	-	-	-	-
