accession	IPR	IPRMdescription	IPR_PFAM	IPR_PFAMdescription
GCA_000017945-FLGBHGLA_10250	-	-	-	-
GCA_000017945-FLGBHGLA_10260	-	-	-	-
GCA_000017945-FLGBHGLA_10270	IPR035435;_IPR016435	Diphthamide_synthesis_DHP1/DPH2,_eukaryotes_and_archaea;_Diphthamide_synthesis_DPH1/DPH2	PF01866	Putative_diphthamide_synthesis_protein
GCA_000017945-FLGBHGLA_10280	IPR001197;_IPR022981;_IPR018255;_IPR036920;_IPR016180	Ribosomal_protein_L10e;_Ribosomal_protein_L10e,_archaea;_Ribosomal_protein_L10e,_conserved_site;_Ribosomal_protein_L10e/L16_superfamily;_Ribosomal_protein_L10e/L16	PF00252	Ribosomal_protein_L16p/L10e
GCA_000017945-FLGBHGLA_10290	IPR022908;_IPR036602;_IPR003827	tRNA(Phe)_7-((3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4))-methyltransferase;_tRNA_wybutosine-synthesizing-like_superfamily;_tRNA_wybutosine-synthesizing_protein	PF02676	Methyltransferase_TYW3
GCA_000017945-FLGBHGLA_10300	IPR006436;_IPR020828;_IPR036291;_IPR020830;_IPR000846;_IPR020831;_IPR020829	Glyceraldehyde-3-phosphate_dehydrogenase,_type_II;_Glyceraldehyde_3-phosphate_dehydrogenase,_NAD(P)_binding_domain;_NAD(P)-binding_domain_superfamily;_Glyceraldehyde_3-phosphate_dehydrogenase,_active_site;_Dihydrodipicolinate_reductase,_N-terminal;_Glyceraldehyde/Erythrose_phosphate_dehydrogenase_family;_Glyceraldehyde_3-phosphate_dehydrogenase,_catalytic_domain	PF01113;_PF02800	Dihydrodipicolinate_reductase,_N-terminus;_Glyceraldehyde_3-phosphate_dehydrogenase,_C-terminal_domain
GCA_000017945-FLGBHGLA_10310	IPR003373;_IPR027417;_IPR011640;_IPR030389;_IPR005225;_IPR011642;_IPR006073	Ferrous_iron_transport_protein_B;_P-loop_containing_nucleoside_triphosphate_hydrolase;_Ferrous_iron_transport_protein_B,_C-terminal;_FeoB-type_guanine_nucleotide-binding_(G)_domain;_Small_GTP-binding_protein_domain;_Nucleoside_transporter/FeoB_GTPase,_Gate_domain;_GTP_binding_domain	PF07664;_PF02421;_PF07670	Ferrous_iron_transport_protein_B_C_terminus;_Ferrous_iron_transport_protein_B;_Nucleoside_recognition
GCA_000017945-FLGBHGLA_10320	-	-	-	-
GCA_000017945-FLGBHGLA_10330	-	-	-	-
GCA_000017945-FLGBHGLA_10340	-	-	-	-
GCA_000017945-FLGBHGLA_10350	IPR036852;_IPR000209;_IPR015500	Peptidase_S8/S53_domain_superfamily;_Peptidase_S8/S53_domain;_Peptidase_S8,_subtilisin-related	PF00082	Subtilase_family
GCA_000017945-FLGBHGLA_10360	IPR027417;_IPR020588;_IPR013632;_IPR016467;_IPR010995;_IPR011938;_IPR033925;_IPR003593;_IPR020587	P-loop_containing_nucleoside_triphosphate_hydrolase;_DNA_recombination_and_repair_protein_RecA-like,_ATP-binding_domain;_DNA_recombination_and_repair_protein_Rad51-like,_C-terminal;_DNA_recombination_and_repair_protein,_RecA-like;_DNA_repair_Rad51/transcription_factor_NusA,_alpha-helical;_DNA_recombination/repair_protein_RadA;_Rad51/DMC1/RadA;_AAA+_ATPase_domain;_DNA_recombination_and_repair_protein_RecA,_monomer-monomer_interface	PF08423;_PF14520	Rad51;_Helix-hairpin-helix_domain
GCA_000017945-FLGBHGLA_10370	IPR020811;_IPR020810;_IPR000941;_IPR029017;_IPR036849;_IPR034390;_IPR020809	Enolase,_N-terminal;_Enolase,_C-terminal_TIM_barrel_domain;_Enolase;_Enolase-like,_N-terminal;_Enolase-like,_C-terminal_domain_superfamily;_Enolase-like_superfamily;_Enolase,_conserved_site	PF00113;_PF03952	Enolase,_C-terminal_TIM_barrel_domain;_Enolase,_N-terminal_domain
GCA_000017945-FLGBHGLA_10380	IPR011701;_IPR036259;_IPR020846	Major_facilitator_superfamily;_MFS_transporter_superfamily;_Major_facilitator_superfamily_domain	PF07690	Major_Facilitator_Superfamily
GCA_000017945-FLGBHGLA_10390	IPR027417;_IPR001482	P-loop_containing_nucleoside_triphosphate_hydrolase;_Type_II/IV_secretion_system_protein	PF00437	Type_II/IV_secretion_system_protein
GCA_000017945-FLGBHGLA_10400	IPR018076	Type_II_secretion_system_F_domain	PF00482	Type_II_secretion_system_(T2SS),_protein_F
GCA_000017945-FLGBHGLA_10410	IPR018076	Type_II_secretion_system_F_domain	PF00482	Type_II_secretion_system_(T2SS),_protein_F
GCA_000017945-FLGBHGLA_10420	IPR036259	MFS_transporter_superfamily	-	-
GCA_000017945-FLGBHGLA_10430	IPR006846	Ribosomal_protein_S30	PF04758	Ribosomal_protein_S30
GCA_000017945-FLGBHGLA_10440	-	-	-	-
GCA_000017945-FLGBHGLA_10450	IPR004518	NTP_pyrophosphohydrolase_MazG,_putative_catalytic_core	PF03819	MazG_nucleotide_pyrophosphohydrolase_domain
GCA_000017945-FLGBHGLA_10460	-	-	-	-
GCA_000017945-FLGBHGLA_10470	IPR009008;_IPR001412;_IPR033709;_IPR002300;_IPR009080;_IPR014729;_IPR013155;_IPR002301	Valyl/Leucyl/Isoleucyl-tRNA_synthetase,_editing_domain;_Aminoacyl-tRNA_synthetase,_class_I,_conserved_site;_Isoleucyl_tRNA_synthetase_type_2,_anticodon-binding_domain;_Aminoacyl-tRNA_synthetase,_class_Ia;_Aminoacyl-tRNA_synthetase,_class_Ia,_anticodon-binding;_Rossmann-like_alpha/beta/alpha_sandwich_fold;_Methionyl/Valyl/Leucyl/Isoleucyl-tRNA_synthetase,_anticodon-binding;_Isoleucine-tRNA_ligase	PF00133;_PF08264	tRNA_synthetases_class_I_(I,_L,_M_and_V);_Anticodon-binding_domain_of_tRNA
GCA_000017945-FLGBHGLA_10480	IPR029063	S-adenosyl-L-methionine-dependent_methyltransferase	-	-
GCA_000017945-FLGBHGLA_10490	IPR000515;_IPR035906	ABC_transporter_type_1,_transmembrane_domain_MetI-like;_MetI-like_superfamily	PF00528	Binding-protein-dependent_transport_system_inner_membrane_component
GCA_000017945-FLGBHGLA_10500	-	-	-	-
GCA_000017945-FLGBHGLA_10510	IPR030678;_IPR039424;_IPR000914	Peptide/nickel_binding_protein,_MppA-type;_Solute-binding_protein_family_5;_Solute-binding_protein_family_5_domain	PF00496	Bacterial_extracellular_solute-binding_proteins,_family_5_Middle
GCA_000017945-FLGBHGLA_10520	IPR036105;_IPR003731	Dinitrogenase_iron-molybdenum_cofactor_biosynthesis_superfamily;_Dinitrogenase_iron-molybdenum_cofactor_biosynthesis	PF02579	Dinitrogenase_iron-molybdenum_cofactor
GCA_000017945-FLGBHGLA_10530	IPR006976	VanZ-like	PF04892	VanZ_like_family
GCA_000017945-FLGBHGLA_10540	-	-	-	-
GCA_000017945-FLGBHGLA_10550	-	-	-	-
GCA_000017945-FLGBHGLA_10560	-	-	-	-
GCA_000017945-FLGBHGLA_10570	IPR019887;_IPR011008	Transcription_regulator_AsnC/Lrp,_ligand_binding_domain;_Dimeric_alpha-beta_barrel	PF01037	Lrp/AsnC_ligand_binding_domain
GCA_000017945-FLGBHGLA_10580	IPR012336;_IPR036249	Thioredoxin-like_fold;_Thioredoxin-like_superfamily	PF13462	Thioredoxin
GCA_000017945-FLGBHGLA_10590	IPR028974;_IPR003367	TSP_type-3_repeat;_Thrombospondin,_type_3-like_repeat	PF02412	Thrombospondin_type_3_repeat
GCA_000017945-FLGBHGLA_10600	IPR006558;_IPR013320	LamG-like_jellyroll_fold;_Concanavalin_A-like_lectin/glucanase_domain_superfamily	PF13385	Concanavalin_A-like_lectin/glucanases_superfamily
GCA_000017945-FLGBHGLA_10610	-	-	-	-
GCA_000017945-FLGBHGLA_10620	IPR036503;_IPR013984;_IPR013983;_IPR001203;_IPR036021;_IPR013985	Aldehyde_ferredoxin_oxidoreductase,_N-terminal_domain_superfamily;_Aldehyde_ferredoxin_oxidoreductase,_domain_2;_Aldehyde_ferredoxin_oxidoreductase,_N-terminal;_Aldehyde_ferredoxin_oxidoreductase,_C-terminal;_Aldehyde_ferredoxin_oxidoreductase-like,_C-terminal;_Aldehyde_ferredoxin_oxidoreductase,_domain_3	PF01314;_PF02730	Aldehyde_ferredoxin_oxidoreductase,_domains_2_&_3;_Aldehyde_ferredoxin_oxidoreductase,_N-terminal_domain
GCA_000017945-FLGBHGLA_10630	-	-	-	-
GCA_000017945-FLGBHGLA_10640	IPR036052;_IPR001926;_IPR026260;_IPR000634;_IPR004450	Tryptophan_synthase_beta_subunit-like_PLP-dependent_enzyme;_Pyridoxal-phosphate_dependent_enzyme;_Threonine_synthase,_bacterial/archaeal;_Serine/threonine_dehydratase,_pyridoxal-phosphate-binding_site;_Threonine_synthase-like	PF00291	Pyridoxal-phosphate_dependent_enzyme
GCA_000017945-FLGBHGLA_10650	-	-	-	-
GCA_000017945-FLGBHGLA_10660	IPR036291;_IPR002347	NAD(P)-binding_domain_superfamily;_Short-chain_dehydrogenase/reductase_SDR	PF13561	Enoyl-(Acyl_carrier_protein)_reductase
GCA_000017945-FLGBHGLA_10670	IPR001279;_IPR013471;_IPR036866	Metallo-beta-lactamase;_Ribonuclease_Z/BN;_Ribonuclease_Z/Hydroxyacylglutathione_hydrolase-like	PF12706	Beta-lactamase_superfamily_domain
GCA_000017945-FLGBHGLA_10680	IPR032466;_IPR001365	Metal-dependent_hydrolase;_Adenosine/AMP_deaminase_domain	PF00962	Adenosine/AMP_deaminase
GCA_000017945-FLGBHGLA_10690	-	-	-	-
GCA_000017945-FLGBHGLA_10700	IPR024902;_IPR004821;_IPR014729;_IPR023140;_IPR036809	FAD_synthase_RibL;_Cytidyltransferase-like_domain;_Rossmann-like_alpha/beta/alpha_sandwich_fold;_Domain_of_unknown_function_DUF357;_AF1782-like_superfamily	PF04010;_PF01467	Protein_of_unknown_function_(DUF357);_Cytidylyltransferase-like
GCA_000017945-FLGBHGLA_10710	IPR007159;_IPR002912;_IPR037914	SpoVT-AbrB_domain;_ACT_domain;_SpoVT-AbrB_domain_superfamily	-	-
GCA_000017945-FLGBHGLA_10720	IPR017006	Uncharacterised_conserved_protein_UCP032756	PF10051	Uncharacterized_protein_conserved_in_archaea_(DUF2286)
GCA_000017945-FLGBHGLA_10730	IPR004013;_IPR003141;_IPR016195	PHP_domain;_Polymerase/histidinol_phosphatase,_N-terminal;_Polymerase/histidinol_phosphatase-like	PF13263;_PF02811	PHP-associated;_PHP_domain
GCA_000017945-FLGBHGLA_10740	IPR036891;_IPR022941;_IPR013822;_IPR027417;_IPR003593;_IPR036225;_IPR000897;_IPR004125	Signal_recognition_particle,_SRP54_subunit,_M-domain_superfamily;_Signal_recognition_particle,_SRP54_subunit;_Signal_recognition_particle,_SRP54_subunit,_helical_bundle;_P-loop_containing_nucleoside_triphosphate_hydrolase;_AAA+_ATPase_domain;_SRP/SRP_receptor,_N-terminal;_Signal_recognition_particle,_SRP54_subunit,_GTPase_domain;_Signal_recognition_particle,_SRP54_subunit,_M-domain	PF00448;_PF02978;_PF02881	SRP54-type_protein,_GTPase_domain;_Signal_peptide_binding_domain;_SRP54-type_protein,_helical_bundle_domain
GCA_000017945-FLGBHGLA_10750	-	-	-	-
GCA_000017945-FLGBHGLA_10760	IPR011059;_IPR006680;_IPR032466	Metal-dependent_hydrolase,_composite_domain_superfamily;_Amidohydrolase-related;_Metal-dependent_hydrolase	PF01979	Amidohydrolase_family
GCA_000017945-FLGBHGLA_10770	IPR006073;_IPR005225;_IPR027417	GTP_binding_domain;_Small_GTP-binding_protein_domain;_P-loop_containing_nucleoside_triphosphate_hydrolase	PF01926	50S_ribosome-binding_GTPase
GCA_000017945-FLGBHGLA_10780	-	-	-	-
GCA_000017945-FLGBHGLA_10790	-	-	-	-
GCA_000017945-FLGBHGLA_10800	IPR036602;_IPR003827;_IPR022908	tRNA_wybutosine-synthesizing-like_superfamily;_tRNA_wybutosine-synthesizing_protein;_tRNA(Phe)_7-((3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4))-methyltransferase	PF02676	Methyltransferase_TYW3
GCA_000017945-FLGBHGLA_10810	-	-	-	-
GCA_000017945-FLGBHGLA_10820	-	-	-	-
GCA_000017945-FLGBHGLA_10830	-	-	-	-
GCA_000017945-FLGBHGLA_10840	IPR002815;_IPR013049;_IPR004085;_IPR034136;_IPR036078;_IPR036388	Spo11/DNA_topoisomerase_VI_subunit_A;_Spo11/DNA_topoisomerase_VI,_subunit_A,_N-terminal;_DNA_topoisomerase_VI,_subunit_A;_Topoisomerase_6_subunit_A/Spo11,_TOPRIM_domain;_Spo11/DNA_topoisomerase_VI_subunit_A_superfamily;_Winged_helix-like_DNA-binding_domain_superfamily	PF04406	Type_IIB_DNA_topoisomerase
GCA_000017945-FLGBHGLA_10850	IPR029026;_IPR029028	tRNA_(guanine-N1-)-methyltransferase,_N-terminal;_Alpha/beta_knot_methyltransferases	-	-
GCA_000017945-FLGBHGLA_10860	-	-	-	-
GCA_000017945-FLGBHGLA_10870	IPR029056;_IPR004443;_IPR036652;_IPR000631;_IPR030677	Ribokinase-like;_YjeF_N-terminal_domain;_YjeF_N-terminal_domain_superfamily;_ATP-dependent_(S)-NAD(P)H-hydrate_dehydratase;_Bifunctional_NAD(P)H-hydrate_repair_enzyme_Nnr	PF01256;_PF03853	Carbohydrate_kinase;_YjeF-related_protein_N-terminus
GCA_000017945-FLGBHGLA_10880	-	-	-	-
GCA_000017945-FLGBHGLA_10890	IPR014748;_IPR029045;_IPR008927;_IPR006176;_IPR018376;_IPR006108;_IPR001753;_IPR013328;_IPR036291	Enoyl-CoA_hydratase,_C-terminal;_ClpP/crotonase-like_domain_superfamily;_6-phosphogluconate_dehydrogenase-like,_C-terminal_domain_superfamily;_3-hydroxyacyl-CoA_dehydrogenase,_NAD_binding;_Enoyl-CoA_hydratase/isomerase,_conserved_site;_3-hydroxyacyl-CoA_dehydrogenase,_C-terminal;_Enoyl-CoA_hydratase/isomerase;_6-phosphogluconate_dehydrogenase,_domain_2;_NAD(P)-binding_domain_superfamily	PF02737;_PF00725;_PF00378	3-hydroxyacyl-CoA_dehydrogenase,_NAD_binding_domain;_3-hydroxyacyl-CoA_dehydrogenase,_C-terminal_domain;_Enoyl-CoA_hydratase/isomerase
GCA_000017945-FLGBHGLA_10900	IPR020596;_IPR001737;_IPR029063;_IPR011530;_IPR020598	Ribosomal_RNA_adenine_methylase_transferase,_conserved_site;_Ribosomal_RNA_adenine_methyltransferase_KsgA/Erm;_S-adenosyl-L-methionine-dependent_methyltransferase;_Ribosomal_RNA_adenine_dimethylase;_Ribosomal_RNA_adenine_methylase_transferase,_N-terminal	PF00398	Ribosomal_RNA_adenine_dimethylase
GCA_000017945-FLGBHGLA_10910	IPR007003	Protein_of_unknown_function_DUF655	PF04919	Protein_of_unknown_function_(DUF655)
GCA_000017945-FLGBHGLA_10920	IPR023531;_IPR016482	Preprotein_translocase_subunit_SecG;_Protein_transport_protein_SecG/Sec61-beta/Sbh	PF03911	Sec61beta_family
GCA_000017945-FLGBHGLA_10930	IPR003583;_IPR010994;_IPR006166;_IPR011335	Helix-hairpin-helix_DNA-binding_motif,_class_1;_RuvA_domain_2-like;_ERCC4_domain;_Restriction_endonuclease__type_II-like	PF14520;_PF02732	Helix-hairpin-helix_domain;_ERCC4_domain
GCA_000017945-FLGBHGLA_10940	-	-	-	-
GCA_000017945-FLGBHGLA_10950	IPR024084;_IPR004439;_IPR019818	Isopropylmalate_dehydrogenase-like_domain;_Isocitrate_dehydrogenase_NADP-dependent,_dimeric,_prokaryotic;_Isocitrate/isopropylmalate_dehydrogenase,_conserved_site	PF00180	Isocitrate/isopropylmalate_dehydrogenase
GCA_000017945-FLGBHGLA_10960	-	-	-	-
GCA_000017945-FLGBHGLA_10970	IPR004948;_IPR003593;_IPR027417	Nucleoside-triphosphatase,_THEP1_type;_AAA+_ATPase_domain;_P-loop_containing_nucleoside_triphosphate_hydrolase	PF03266	NTPase
GCA_000017945-FLGBHGLA_10980	-	-	-	-
GCA_000017945-FLGBHGLA_10990	IPR036388;_IPR009057;_IPR007367	Winged_helix-like_DNA-binding_domain_superfamily;_Homeobox-like_domain_superfamily;_Protein_of_unknown_function_DUF433	PF04255	Protein_of_unknown_function_(DUF433)
GCA_000017945-FLGBHGLA_11000	-	-	-	-
GCA_000017945-FLGBHGLA_11010	IPR019267	CRISPR-associated_protein_Cas6,_C-terminal	PF10040	CRISPR-associated_endoribonuclease_Cas6
GCA_000017945-FLGBHGLA_11020	-	-	-	-
GCA_000017945-FLGBHGLA_11030	-	-	-	-
GCA_000017945-FLGBHGLA_11040	IPR002729	CRISPR-associated_protein_Cas1	PF01867	CRISPR_associated_protein_Cas1
GCA_000017945-FLGBHGLA_11050	-	-	-	-
GCA_000017945-FLGBHGLA_11060	IPR017900;_IPR017896	4Fe-4S_ferredoxin,_iron-sulphur_binding,_conserved_site;_4Fe-4S_ferredoxin-type,_iron-sulphur_binding_domain	PF12838	4Fe-4S_dicluster_domain
GCA_000017945-FLGBHGLA_11070	IPR002869;_IPR019752	Pyruvate-flavodoxin_oxidoreductase,_central_domain;_Pyruvate/ketoisovalerate_oxidoreductase,_catalytic_domain	PF01558	Pyruvate_ferredoxin/flavodoxin_oxidoreductase
GCA_000017945-FLGBHGLA_11080	IPR029061;_IPR011766	Thiamin_diphosphate-binding_fold;_Thiamine_pyrophosphate_enzyme,_C-terminal_TPP-binding	PF02775	Thiamine_pyrophosphate_enzyme,_C-terminal_TPP_binding_domain
GCA_000017945-FLGBHGLA_11090	IPR009014;_IPR033412;_IPR029061;_IPR002880	Transketolase_C-terminal/Pyruvate-ferredoxin_oxidoreductase_domain_II;_Pyruvate:ferredoxin_oxidoreductase,_core_domain_II;_Thiamin_diphosphate-binding_fold;_Pyruvate_flavodoxin/ferredoxin_oxidoreductase,_N-terminal	PF17147;_PF01855	Pyruvate:ferredoxin_oxidoreductase_core_domain_II;_Pyruvate_flavodoxin/ferredoxin_oxidoreductase,_thiamine_diP-bdg
GCA_000017945-FLGBHGLA_11100	IPR013785;_IPR011343;_IPR002915;_IPR028581	Aldolase-type_TIM_barrel;_Deoxyribose-phosphate_aldolase;_DeoC/FbaB/_lacD_aldolase;_Deoxyribose-phosphate_aldolase_type_I	PF01791	DeoC/LacD_family_aldolase
GCA_000017945-FLGBHGLA_11110	IPR002842;_IPR038495	V-type_ATPase_subunit_E;_V-type_ATPase_subunit_E,_C-terminal_domain_superfamily	PF01991	ATP_synthase_(E/31_kDa)_subunit
GCA_000017945-FLGBHGLA_11120	IPR036906;_IPR008218	ATPase,_V1_complex,_subunit_F_superfamily;_ATPase,_V1_complex,_subunit_F	PF01990	ATP_synthase_(F/14-kDa)_subunit
GCA_000017945-FLGBHGLA_11130	-	-	-	-
GCA_000017945-FLGBHGLA_11140	-	-	-	-
GCA_000017945-FLGBHGLA_11150	IPR032816	SNARE_associated_Golgi_protein	PF09335	SNARE_associated_Golgi_protein
GCA_000017945-FLGBHGLA_11160	-	-	PF12698	ABC-2_family_transporter_protein
GCA_000017945-FLGBHGLA_11170	IPR027417;_IPR003439;_IPR017871;_IPR003593;_IPR005895	P-loop_containing_nucleoside_triphosphate_hydrolase;_ABC_transporter-like;_ABC_transporter,_conserved_site;_AAA+_ATPase_domain;_ABC_transporter,_haem_export,_CcmA	PF00005	ABC_transporter
GCA_000017945-FLGBHGLA_11180	IPR006638;_IPR020050;_IPR013785;_IPR007197;_IPR034405	Elp3/MiaB/NifB;_FO_synthase,_subunit_2;_Aldolase-type_TIM_barrel;_Radical_SAM;_F420,_menaquinone_cofactor_biosynthesis	PF04055	Radical_SAM_superfamily
GCA_000017945-FLGBHGLA_11190	IPR018136;_IPR015931;_IPR001030;_IPR011826;_IPR006251;_IPR033941;_IPR036008	Aconitase_family,_4Fe-4S_cluster_binding_site;_Aconitase/3-isopropylmalate_dehydratase_large_subunit,_alpha/beta/alpha,_subdomain_1/3;_Aconitase/3-isopropylmalate_dehydratase_large_subunit,_alpha/beta/alpha_domain;_Homoaconitase/3-isopropylmalate_dehydratase,_large_subunit,_prokaryotic;_Homoaconitase/3-isopropylmalate_dehydratase,_large_subunit;_3-Isopropylmalate_dehydratase,_catalytic_domain;_Aconitase,_iron-sulfur_domain	PF00330	Aconitase_family_(aconitate_hydratase)
GCA_000017945-FLGBHGLA_11200	-	-	-	-
GCA_000017945-FLGBHGLA_11210	-	-	-	-
GCA_000017945-FLGBHGLA_11220	IPR005734;_IPR015320;_IPR036890;_IPR020568;_IPR010979;_IPR014721;_IPR009081;_IPR003594	DNA_topoisomerase_VI,_subunit_B;_DNA_topoisomerase_VI,_subunit_B,_transducer;_Histidine_kinase/HSP90-like_ATPase_superfamily;_Ribosomal_protein_S5_domain_2-type_fold;_Ribosomal_protein_S13-like,_H2TH;_Ribosomal_protein_S5_domain_2-type_fold,_subgroup;_Phosphopantetheine_binding_ACP_domain;_Histidine_kinase/HSP90-like_ATPase	PF09239;_PF13589	Topoisomerase_VI_B_subunit,_transducer;_Histidine_kinase-,_DNA_gyrase_B-,_and_HSP90-like_ATPase
GCA_000017945-FLGBHGLA_11230	IPR015421;_IPR001085;_IPR039429;_IPR015424;_IPR019798;_IPR015422	Pyridoxal_phosphate-dependent_transferase,_major_domain;_Serine_hydroxymethyltransferase;_Serine_hydroxymethyltransferase-like_domain;_Pyridoxal_phosphate-dependent_transferase;_Serine_hydroxymethyltransferase,_pyridoxal_phosphate_binding_site;_Pyridoxal_phosphate-dependent_transferase_domain_1	PF00464	Serine_hydroxymethyltransferase
GCA_000017945-FLGBHGLA_11240	IPR001719;_IPR013022;_IPR036237	AP_endonuclease_2;_Xylose_isomerase-like,_TIM_barrel_domain;_Xylose_isomerase-like_superfamily	PF01261	Xylose_isomerase-like_TIM_barrel
GCA_000017945-FLGBHGLA_11250	IPR001780;_IPR038661;_IPR009000	Ribosomal_protein_L35A;_Ribosomal_protein_L35A_superfamily;_Translation_protein,_beta-barrel_domain_superfamily	PF01247	Ribosomal_protein_L35Ae
GCA_000017945-FLGBHGLA_11260	-	-	-	-
GCA_000017945-FLGBHGLA_11270	IPR000644	CBS_domain	PF00571	CBS_domain
GCA_000017945-FLGBHGLA_11280	-	-	-	-
GCA_000017945-FLGBHGLA_11290	IPR011604	Exonuclease,_phage-type/RecB,_C-terminal	-	-
GCA_000017945-FLGBHGLA_11300	IPR029061;_IPR029035;_IPR011766;_IPR000399;_IPR012000;_IPR012001;_IPR012846;_IPR039368	Thiamin_diphosphate-binding_fold;_DHS-like_NAD/FAD-binding_domain_superfamily;_Thiamine_pyrophosphate_enzyme,_C-terminal_TPP-binding;_TPP-binding_enzyme,_conserved_site;_Thiamine_pyrophosphate_enzyme,_central_domain;_Thiamine_pyrophosphate_enzyme,_N-terminal_TPP-binding_domain;_Acetolactate_synthase,_large_subunit,_biosynthetic;_Acetolactate_synthase_large_subunit,_TPP_binding_domain	PF02775;_PF00205;_PF02776	Thiamine_pyrophosphate_enzyme,_C-terminal_TPP_binding_domain;_Thiamine_pyrophosphate_enzyme,_central_domain;_Thiamine_pyrophosphate_enzyme,_N-terminal_TPP_binding_domain
GCA_000017945-FLGBHGLA_11310	-	-	PF13710	ACT_domain
GCA_000017945-FLGBHGLA_11320	IPR011146;_IPR039384;_IPR036265;_IPR019808;_IPR001310	HIT-like_domain;_HINT_family;_HIT-like_superfamily;_Histidine_triad,_conserved_site;_Histidine_triad_(HIT)_protein	PF01230	HIT_domain
GCA_000017945-FLGBHGLA_11330	IPR006316;_IPR006654;_IPR006653;_IPR023026;_IPR001926;_IPR036052	Tryptophan_synthase,_beta_chain-like;_Tryptophan_synthase,_beta_chain;_Tryptophan_synthase,_beta_chain,_conserved_site;_Tryptophan_synthase_beta_chain/beta_chain-like;_Pyridoxal-phosphate_dependent_enzyme;_Tryptophan_synthase_beta_subunit-like_PLP-dependent_enzyme	PF00291	Pyridoxal-phosphate_dependent_enzyme
GCA_000017945-FLGBHGLA_11340	IPR009010	Aspartate_decarboxylase-like_domain_superfamily	-	-
GCA_000017945-FLGBHGLA_11350	IPR015421;_IPR015424;_IPR000277;_IPR015422	Pyridoxal_phosphate-dependent_transferase,_major_domain;_Pyridoxal_phosphate-dependent_transferase;_Cys/Met_metabolism,_pyridoxal_phosphate-dependent_enzyme;_Pyridoxal_phosphate-dependent_transferase_domain_1	PF01053	Cys/Met_metabolism_PLP-dependent_enzyme
GCA_000017945-FLGBHGLA_11360	IPR000845;_IPR035994;_IPR010044;_IPR018099	Nucleoside_phosphorylase_domain;_Nucleoside_phosphorylase_superfamily;_Methylthioadenosine_phosphorylase__(MTAP);_Purine_phosphorylase,_family_2,_conserved_site	PF01048	Phosphorylase_superfamily
GCA_000017945-FLGBHGLA_11370	-	-	-	-
GCA_000017945-FLGBHGLA_11380	IPR004457;_IPR004470	Zinc_finger,_ZPR1-type;_Zinc_finger,_ZPR1-type,_subgroup	PF03367	ZPR1_zinc-finger_domain
GCA_000017945-FLGBHGLA_11390	IPR000552;_IPR011332	Ribosomal_protein_L44e;_Zinc-binding_ribosomal_protein	PF00935	Ribosomal_protein_L44
GCA_000017945-FLGBHGLA_11400	IPR006638;_IPR034481;_IPR017200;_IPR034395;_IPR007197;_IPR013785	Elp3/MiaB/NifB;_Main_SPASM_domain-containing;_Coenzyme_PQQ_synthesis_protein_E;_SPASM/twitch_domain-containing;_Radical_SAM;_Aldolase-type_TIM_barrel	PF04055;_PF13394	Radical_SAM_superfamily;_4Fe-4S_single_cluster_domain
GCA_000017945-FLGBHGLA_11410	IPR039649;_IPR036188;_IPR011777	Digeranylgeranylglycerophospholipid_reductase,_N-terminal;_FAD/NAD(P)-binding_domain_superfamily;_Geranylgeranyl_reductase_family	PF12831	FAD_dependent_oxidoreductase
GCA_000017945-FLGBHGLA_11420	-	-	-	-
GCA_000017945-FLGBHGLA_11430	IPR020058;_IPR004526;_IPR020059;_IPR020056;_IPR011035;_IPR000924;_IPR014729	Glutamyl/glutaminyl-tRNA_synthetase,_class_Ib,_catalytic_domain;_Glutamyl-tRNA_synthetase,_archaeal/eukaryotic_cytosolic;_Glutamyl/glutaminyl-tRNA_synthetase,_class_Ib,_anti-codon_binding_domain;_Ribosomal_protein_L25/Gln-tRNA_synthetase,_N-terminal;_Ribosomal_protein_L25/Gln-tRNA_synthetase,_anti-codon-binding_domain_superfamily;_Glutamyl/glutaminyl-tRNA_synthetase;_Rossmann-like_alpha/beta/alpha_sandwich_fold	PF00749;_PF03950	tRNA_synthetases_class_I_(E_and_Q),_catalytic_domain;_tRNA_synthetases_class_I_(E_and_Q),_anti-codon_binding_domain
GCA_000017945-FLGBHGLA_11440	IPR036249;_IPR013766	Thioredoxin-like_superfamily;_Thioredoxin_domain	PF00085	Thioredoxin
GCA_000017945-FLGBHGLA_11450	-	-	-	-
GCA_000017945-FLGBHGLA_11460	IPR008279;_IPR002192;_IPR006319;_IPR013815;_IPR000121;_IPR023151;_IPR018274;_IPR036637;_IPR015813	PEP-utilising_enzyme,_mobile_domain;_Pyruvate_phosphate_dikinase,_PEP/pyruvate-binding;_Phosphoenolpyruvate_synthase;_ATP-grasp_fold,_subdomain_1;_PEP-utilising_enzyme,_C-terminal;_PEP-utilising_enzyme,_conserved_site;_PEP-utilising_enzyme,_active_site;_Phosphohistidine_domain_superfamily;_Pyruvate/Phosphoenolpyruvate_kinase-like_domain_superfamily	PF00391;_PF01326;_PF02896	PEP-utilising_enzyme,_mobile_domain;_Pyruvate_phosphate_dikinase,_PEP/pyruvate_binding_domain;_PEP-utilising_enzyme,_TIM_barrel_domain
GCA_000017945-FLGBHGLA_11470	IPR036390	Winged_helix_DNA-binding_domain_superfamily	-	-
