accession	arcogs	arcogs_geneID	arcogs_Description	Pathway	arcogs_evalue
GCA_000017945-FLGBHGLA_02090	arCOG02169	-	Transglutaminase-like_cysteine_protease	E	9.1e-76
GCA_000017945-FLGBHGLA_02100	-	-	-	-	-
GCA_000017945-FLGBHGLA_02110	arCOG03216	-	Uncharacterized_protein,_contains_DUF4213_and_DUF364_domains	S	7e-44
GCA_000017945-FLGBHGLA_02120	-	-	-	-	-
GCA_000017945-FLGBHGLA_02130	arCOG01574	Rrp42	Exosome_complex_RNA-binding_protein_Rrp42,_RNase_PH_superfamily	J	3.9e-95
GCA_000017945-FLGBHGLA_02140	arCOG01575	Rph/Rrp42	Ribonuclease_PH	J	5.7e-84
GCA_000017945-FLGBHGLA_02150	arCOG00678	Rrp4	Exosome_complex_RNA-binding_protein_Rrp4,_contains_S1_and_KH_domains	J	7.9e-79
GCA_000017945-FLGBHGLA_02160	arCOG00946	PflA	Pyruvate-formate_lyase-activating_enzyme	O	2.4e-16
GCA_000017945-FLGBHGLA_02170	arCOG04153	-	RNA_polymerase_III_subunit_C34,_Lrp/AsnC_family	K	4.7e-34
GCA_000017945-FLGBHGLA_02180	-	-	-	-	-
GCA_000017945-FLGBHGLA_02190	arCOG01033	AroE	Shikimate_5-dehydrogenase	E	2.3e-56
GCA_000017945-FLGBHGLA_02200	-	-	-	-	-
GCA_000017945-FLGBHGLA_02210	-	-	-	-	-
GCA_000017945-FLGBHGLA_02220	arCOG00638	ThiL	Thiamine_monophosphate_kinase	H	7.2e-37
GCA_000017945-FLGBHGLA_02230	arCOG00808	ValS	Valyl-tRNA_synthetase	J	1.1e-215
GCA_000017945-FLGBHGLA_02240	arCOG00286	-	HerA_helicase	L	2.1e-63
GCA_000017945-FLGBHGLA_02250	arCOG01038	Fap7	Broad-specificity_NMP_kinase	F	5e-25
GCA_000017945-FLGBHGLA_02260	arCOG01895	IolE	Sugar_phosphate_isomerase/epimerase	G	1.2e-22
GCA_000017945-FLGBHGLA_02270	arCOG04048	Dcd	Deoxycytidine_deaminase	F	1.9e-36
GCA_000017945-FLGBHGLA_02280	-	-	-	-	-
GCA_000017945-FLGBHGLA_02290	arCOG01117	-	Lrp/AsnC_family_C-terminal_domain	K	4.8e-16
GCA_000017945-FLGBHGLA_02300	arCOG00603	PyrD	Dihydroorotate_dehydrogenase	F	3.2e-73
GCA_000017945-FLGBHGLA_02310	-	-	-	-	-
GCA_000017945-FLGBHGLA_02320	arCOG02173	NrdG	Organic_radical_activating_enzyme	O	4.1e-49
GCA_000017945-FLGBHGLA_02330	arCOG01751	Rpl7Ae	Ribosomal_protein_L7AE	J	8.5e-48
GCA_000017945-FLGBHGLA_02340	arCOG04321	-	Uncharacterized_protein_DUF711_family,_similar_to_ribonucleotide_reductase_and_pyruvate_formate_lyase	S	5.1e-97
GCA_000017945-FLGBHGLA_02350	arCOG02197	Cgi121	Subunit_of_KEOPS_complex_(Cgi121BUD32KAE1)	J	2.3e-14
GCA_000017945-FLGBHGLA_02360	arCOG00040	Hpt1	Hypoxanthine_phosphoribosyltransferase	H	9.8e-27
GCA_000017945-FLGBHGLA_02370	arCOG07220	-	Uncharacterized_protein	S	5e-36
GCA_000017945-FLGBHGLA_02380	arCOG01568	MscS	Small-conductance_mechanosensitive_channel	M	6.8e-13
GCA_000017945-FLGBHGLA_02390	arCOG01957	TrkA	TrkA,_K+_transport_system,_NAD-binding_component	P	4.1e-31
GCA_000017945-FLGBHGLA_02400	-	-	-	-	-
GCA_000017945-FLGBHGLA_02410	arCOG01147	CpdA	3',5'-cyclic_AMP_phosphodiesterase_CpdA	T	2.6e-69
GCA_000017945-FLGBHGLA_02420	arCOG04160	-	Uncharacterized_protein	S	2.3e-65
GCA_000017945-FLGBHGLA_02430	arCOG01042	-	Exosome_subunit,_RNA_binding_protein_with_dsRBD_fold	J	8.4e-35
GCA_000017945-FLGBHGLA_02440	arCOG01019	-	SpoU_rRNA_Methylase_family_enzyme	R	2.8e-46
GCA_000017945-FLGBHGLA_02450	arCOG01158	SerB	Phosphoserine_phosphatase	E	1.3e-26
GCA_000017945-FLGBHGLA_02460	arCOG04257	RpoC/Rpo3	DNA-directed_RNA_polymerase_subunit_A'	K	0
GCA_000017945-FLGBHGLA_02470	arCOG04256	RpoC/Rpo11	DNA-directed_RNA_polymerase_subunit_A''	K	3.1e-126
GCA_000017945-FLGBHGLA_02480	arCOG01752	RPL30	Ribosomal_protein_L30E	J	8.4e-37
GCA_000017945-FLGBHGLA_02490	arCOG01760	NusA	Transcription_elongation_factor	K	5.9e-43
GCA_000017945-FLGBHGLA_02500	arCOG04255	RpsL	Ribosomal_protein_S12	J	3.8e-64
GCA_000017945-FLGBHGLA_02510	arCOG01759	-	Bifunctional_nuclease,_with_DNase_and_RNase_activity	L	1.3e-33
GCA_000017945-FLGBHGLA_02520	arCOG04254	RpsG	Ribosomal_protein_S7	J	2.8e-74
GCA_000017945-FLGBHGLA_02530	arCOG00467	CDC6	Cdc6-related_protein,_AAA_superfamily_ATPase	L	4.3e-134
GCA_000017945-FLGBHGLA_02540	arCOG00928	-	Endonuclease_V_homolog	L	9.8e-13
GCA_000017945-FLGBHGLA_02550	arCOG00067	PrsA	Phosphoribosylpyrophosphate_synthetase	F	5.1e-76
GCA_000017945-FLGBHGLA_02560	arCOG01741	PelA	Release_factor_eRF1	J	2.6e-69
GCA_000017945-FLGBHGLA_02570	arCOG00536	MoaD	Molybdopterin_converting_factor,_small_subunit	H	1.6e-06
GCA_000017945-FLGBHGLA_02580	arCOG02053	UspA	Nucleotide-binding_protein,__UspA_family	T	1e-29
GCA_000017945-FLGBHGLA_02590	arCOG01529	Acs	Acyl-coenzyme_A_synthetase/AMP-(fatty)_acid_ligase	I	6.5e-178
GCA_000017945-FLGBHGLA_02600	arCOG01529	Acs	Acyl-coenzyme_A_synthetase/AMP-(fatty)_acid_ligase	I	3.1e-100
GCA_000017945-FLGBHGLA_02610	-	-	-	-	-
GCA_000017945-FLGBHGLA_02620	arCOG01150	-	Phosphohydrolase,_Icc/MPP_superfamily	R	1.3e-44
GCA_000017945-FLGBHGLA_02630	arCOG00534	MoaE	Molybdopterin_converting_factor,_large_subunit	H	2.1e-44
GCA_000017945-FLGBHGLA_02640	arCOG02093	LeuA	Isopropylmalate/homocitrate/citramalate_synthase	E	8.6e-151
GCA_000017945-FLGBHGLA_02650	-	-	-	-	-
GCA_000017945-FLGBHGLA_02660	arCOG00653	-	Uncharacterized_protein	S	3.5e-30
GCA_000017945-FLGBHGLA_02670	-	-	-	-	-
GCA_000017945-FLGBHGLA_02680	-	-	-	-	-
GCA_000017945-FLGBHGLA_02690	arCOG01183	Kae1p/TsaD	Subunit_of_KEOPS_complex,_tRNA_A37_threonylcarbamoyltransferase,_contains_a_domain_with_ASKHA_fold_and_RIO-type_kinase_(AP-endonuclease_activity)	J	5.3e-109
GCA_000017945-FLGBHGLA_02700	arCOG01688	-	Predicted_transcriptional_regulator,_contains_HTH_and_4VR_domain	R	5.5e-11
GCA_000017945-FLGBHGLA_02710	arCOG04159	-	MoxR-like_ATPase	N	8.6e-121
GCA_000017945-FLGBHGLA_02720	arCOG00053	SgbH	3-hexulose-6-phosphate_synthase_or_related_protein	G	4.9e-60
GCA_000017945-FLGBHGLA_02730	arCOG04183	RPS27AE	Ribosomal_protein_S27AE	J	5.1e-20
GCA_000017945-FLGBHGLA_02740	arCOG04182	RPS24A	Ribosomal_protein_S24E	J	8.5e-21
GCA_000017945-FLGBHGLA_02750	arCOG01885	RPS17A	Ribosomal_protein_S17E	J	6.9e-18
GCA_000017945-FLGBHGLA_02760	arCOG00692	SsnA	Cytosine_deaminase_or_related_metal-dependent_hydrolase	F	1.8e-65
GCA_000017945-FLGBHGLA_02770	arCOG00496	Pgk	3-phosphoglycerate_kinase	G	9.2e-141
GCA_000017945-FLGBHGLA_02780	arCOG08619	-	Metal-binding_cluster_containing_protein	S	3.6e-10
GCA_000017945-FLGBHGLA_02790	arCOG00571	SdhA	Succinate_dehydrogenase/fumarate_reductase,_flavoprotein_subunit	C	6.7e-188
GCA_000017945-FLGBHGLA_02800	arCOG01414	RfaG	Glycosyltransferase	M	1.1e-105
GCA_000017945-FLGBHGLA_02810	arCOG00397	SbcD	DNA_repair_exonuclease,_SbcD	L	2.3e-48
GCA_000017945-FLGBHGLA_02820	arCOG05510	-	Uncharacterized_membrane_protein	S	1.2e-39
GCA_000017945-FLGBHGLA_02830	arCOG02097	AroD	3-dehydroquinate_dehydratase	E	1.4e-33
GCA_000017945-FLGBHGLA_02840	arCOG03773	-	SAM-dependent_methyltransferase	Q	2.9e-25
GCA_000017945-FLGBHGLA_02850	-	-	-	-	-
GCA_000017945-FLGBHGLA_02860	arCOG00353	HflX	50S_ribosomal_subunit-associated_GTPase_HflX	J	9.1e-87
GCA_000017945-FLGBHGLA_02870	arCOG01344	RPS19A	Ribosomal_protein_S19E_(S16A)	J	6.9e-49
GCA_000017945-FLGBHGLA_02880	arCOG04179	PDCD5	DNA-binding_TFAR19-related_protein,_PDSD5_family	R	2.9e-24
GCA_000017945-FLGBHGLA_02890	arCOG04177	RPL39	Ribosomal_protein_L39E	J	3e-17
GCA_000017945-FLGBHGLA_02900	arCOG04473	RPL31A	Ribosomal_protein_L31E	J	2e-23
GCA_000017945-FLGBHGLA_02910	arCOG04176	TIF6	Translation_initiation_factor_6_(eIF-6)	J	3.3e-65
GCA_000017945-FLGBHGLA_02920	arCOG00667	RfbA	dTDP-glucose_pyrophosphorylase	M	8.5e-99
GCA_000017945-FLGBHGLA_02930	-	-	-	-	-
GCA_000017945-FLGBHGLA_02940	arCOG04305	RPS26B	Ribosomal_protein_S26	J	5.8e-46
GCA_000017945-FLGBHGLA_02950	arCOG01239	RsmE	RNA_base_methyltransferase_family_enzyme	J	7.6e-35
GCA_000017945-FLGBHGLA_02960	arCOG01512	HyuB	N-methylhydantoinase_B/acetone_carboxylase,_alpha_subunit	E	2.7e-149
GCA_000017945-FLGBHGLA_02970	arCOG01171	KaiC	KaiC_family_ATPase_implicated_in_signal_transduction	T	1.3e-79
GCA_000017945-FLGBHGLA_02980	arCOG00910	-	Predicted_RNA_methylase	J	3.2e-41
GCA_000017945-FLGBHGLA_02990	arCOG01001	Map	Methionine_aminopeptidase	J	1.3e-77
GCA_000017945-FLGBHGLA_03000	arCOG05072	-	Aldehyde:ferredoxin_oxidoreductase	C	3.1e-233
GCA_000017945-FLGBHGLA_03010	arCOG04124	-	Trm112_RNA_methyltransferase_activating_protein	J	5.1e-25
GCA_000017945-FLGBHGLA_03020	arCOG00130	-	MFS_family_permease	G	1.7e-16
GCA_000017945-FLGBHGLA_03030	-	-	-	-	-
GCA_000017945-FLGBHGLA_03040	arCOG01291	SplB	DNA_repair_photolyase	L	2.7e-109
GCA_000017945-FLGBHGLA_03050	arCOG00905	-	Uracil-DNA_glycosylase	L	6.7e-51
GCA_000017945-FLGBHGLA_03060	arCOG05728	-	MFS_family_permease	G	7.9e-65
GCA_000017945-FLGBHGLA_03070	arCOG04941	-	ACT_domain-containing_protein	T	3.8e-34
GCA_000017945-FLGBHGLA_03080	arCOG02230	LeuD	3-isopropylmalate_dehydratase_small_subunit	E	3.5e-52
GCA_000017945-FLGBHGLA_03090	arCOG02431	-	Predicted_Rossmann_fold_nucleotide-binding_protein	R	1.3e-17
GCA_000017945-FLGBHGLA_03100	arCOG01171	KaiC	KaiC_family_ATPase_implicated_in_signal_transduction	T	1e-66
GCA_000017945-FLGBHGLA_03110	arCOG00255	PheA	Prephenate_dehydratase	E	2.9e-87
GCA_000017945-FLGBHGLA_03120	arCOG01117	-	Lrp/AsnC_family_C-terminal_domain	K	1.2e-20
GCA_000017945-FLGBHGLA_03130	arCOG01115	TiaS	tRNA(Ile2)_2-agmatinylcytidine_synthetase;__containing_Zn-ribbon_domain_and_OB-fold_domain	J	4.6e-58
GCA_000017945-FLGBHGLA_03140	-	-	-	-	-
GCA_000017945-FLGBHGLA_03150	arCOG00639	PurM	Phosphoribosylaminoimidazole_(AIR)_synthetase	F	2.3e-76
GCA_000017945-FLGBHGLA_03160	arCOG04619	-	Uncharacterized_membrane_protein,_contains_bPH2_(bacterial_pleckstrin_homology)_domain	S	7.9e-06
GCA_000017945-FLGBHGLA_03170	arCOG00401	ThrS	Threonyl-tRNA_synthetase	J	8.7e-87
GCA_000017945-FLGBHGLA_03180	arCOG00268	CcmF	Cytochrome_c_biogenesis_factor	O	6e-266
GCA_000017945-FLGBHGLA_03190	arCOG01107	ArgE	Acetylornithine_deacetylase/Succinyl-diaminopimelate_desuccinylase_or_related_deacylase	E	5.6e-75
GCA_000017945-FLGBHGLA_03200	arCOG02407	TrxA	Thioredoxin_fused_to_Cytochrome_c_biogenesis_protein	O	3.2e-82
GCA_000017945-FLGBHGLA_03210	arCOG04263	-	Pantoate_kinase	H	1.4e-29
GCA_000017945-FLGBHGLA_03220	arCOG00464	AlkA	3-methyladenine_DNA_glycosylase/8-oxoguanine_DNA_glycosylase	L	6e-39
GCA_000017945-FLGBHGLA_03230	arCOG00033	Trm5	Wybutosine_(yW)_biosynthesis_enzyme_Trm5,_tRNA_(guanine)_methyltransferase	J	5.2e-73
GCA_000017945-FLGBHGLA_03240	arCOG06091	-	Uncharacterized_membrane_protein	S	9.4e-119
GCA_000017945-FLGBHGLA_03250	-	-	-	-	-
GCA_000017945-FLGBHGLA_03260	-	-	-	-	-
GCA_000017945-FLGBHGLA_03270	arCOG01631	-	Protein_lysine_SAM-dependent_methyltransferase	O	3.4e-53
GCA_000017945-FLGBHGLA_03280	arCOG01563	GCD11	Translation_initiation_factor_2,_gamma_subunit_eIF-2_gamma,_GTPase	J	5.3e-162
GCA_000017945-FLGBHGLA_03290	arCOG04300	HemB	Delta-aminolevulinic_acid_dehydratase	H	1.2e-130
GCA_000017945-FLGBHGLA_03300	arCOG01907	AIM24	Uncharacterized_protein,_AIM24_family	S	4.9e-63
GCA_000017945-FLGBHGLA_03310	arCOG03433	Csx1	CARF_domain_containing_protein,_contains_HTH_and_HEPN_domains	V	2.1e-79
GCA_000017945-FLGBHGLA_03320	arCOG02657	Cmr4g7	CRISPR-Cas_system_related_protein,_RAMP_superfamily_Cas7_group	V	5.4e-69
GCA_000017945-FLGBHGLA_03330	arCOG02666	Cas10	CRISPR_associated_protein_Cas10,_large_subunit_of_Type_III_system_effector_complex,_contains_HD_family_nuclease	V	2.1e-157
GCA_000017945-FLGBHGLA_03340	arCOG02665	Cmr3g5	CRISPR-Cas_system_related_protein,_RAMP_superfamily_Cas5_group	V	1.5e-44
GCA_000017945-FLGBHGLA_03350	-	-	-	-	-
GCA_000017945-FLGBHGLA_03360	arCOG00063	PyrG	CTP_synthase_(UTP-ammonia_lyase)	F	8.3e-171
GCA_000017945-FLGBHGLA_03370	arCOG00938	-	Radical_SAM_superfamily_enzyme	R	5.8e-41
GCA_000017945-FLGBHGLA_03380	-	-	-	-	-
GCA_000017945-FLGBHGLA_03390	arCOG02464	PurE	Phosphoribosylcarboxyaminoimidazole_(NCAIR)_mutase	F	1.3e-46
GCA_000017945-FLGBHGLA_03400	-	-	-	-	-
GCA_000017945-FLGBHGLA_03410	arCOG11431	-	Uncharacterized_membrane_protein	S	1.3e-06
GCA_000017945-FLGBHGLA_03420	arCOG00929	Nfi	Deoxyinosine_3'endonuclease_(endonuclease_V)	L	2.7e-57
GCA_000017945-FLGBHGLA_03430	arCOG01727	IspA	Geranylgeranyl_pyrophosphate_synthase	H	3.1e-79
GCA_000017945-FLGBHGLA_03440	arCOG01972	TrxA	Thiol-disulfide_isomerase_or_thioredoxin	O	1.3e-11
GCA_000017945-FLGBHGLA_03450	arCOG07424	HemN	Coproporphyrinogen_III_oxidase_or_related_Fe-S_oxidoreductase	H	1.1e-135
GCA_000017945-FLGBHGLA_03460	arCOG04435	-	Phosphoenolpyruvate_carboxylase	G	6.8e-136
GCA_000017945-FLGBHGLA_03470	arCOG01015	Pus10	tRNA_U54_and_U55_pseudouridine_synthase_Pus10	J	2.6e-103
GCA_000017945-FLGBHGLA_03480	arCOG01349	SuhB	Archaeal_fructose-1,6-bisphosphatase_or_related_enzyme_of_inositol_monophosphatase_family	G	5.6e-45
GCA_000017945-FLGBHGLA_03490	arCOG04250	-	Solo_B3/4_domain_(OB-fold_DNA/RNA-binding)_of_Phe-aaRS-beta	R	2.2e-66
GCA_000017945-FLGBHGLA_03500	arCOG02231	-	Uncharacterized_FAD-dependent_dehydrogenase	R	1.2e-215
GCA_000017945-FLGBHGLA_03510	arCOG04387	PurA	Adenylosuccinate_synthase	F	2.4e-82
GCA_000017945-FLGBHGLA_03520	arCOG01886	TyrS	Tyrosyl-tRNA_synthetase	J	6.7e-103
GCA_000017945-FLGBHGLA_03530	arCOG02694	TatA	Sec-independent_protein_secretion_pathway_component	U	1.1e-15
GCA_000017945-FLGBHGLA_03540	arCOG00041	-	Predicted_phosphoribosyltransferase	R	2.6e-60
GCA_000017945-FLGBHGLA_03550	-	-	-	-	-
GCA_000017945-FLGBHGLA_03560	arCOG01324	Udp	Uridine_phosphorylase	F	8.1e-66
GCA_000017945-FLGBHGLA_03570	arCOG03727	-	Holliday_junction_resolvase,_archaeal_type	L	4.2e-40
GCA_000017945-FLGBHGLA_03580	arCOG07462	-	Uncharacterized_protein	S	6.2e-51
GCA_000017945-FLGBHGLA_03590	arCOG04115	SfsA	DNA-binding_protein,_stimulates_sugar_fermentation	R	2.2e-55
GCA_000017945-FLGBHGLA_03600	arCOG01231	HypB	Ni2+-binding_GTPase_involved_in_regulation_of_expression_and_maturation_of_urease_and_hydrogenase	O	4.3e-55
GCA_000017945-FLGBHGLA_03610	-	-	-	-	-
GCA_000017945-FLGBHGLA_03620	arCOG05489	-	Uncharacterized_protein	S	2.6e-47
GCA_000017945-FLGBHGLA_03630	-	-	-	-	-
GCA_000017945-FLGBHGLA_03640	arCOG02579	-	Fe-S-cluster_containining_protein	R	1.2e-18
GCA_000017945-FLGBHGLA_03650	-	-	-	-	-
GCA_000017945-FLGBHGLA_03660	arCOG00474	FAU1	5-formyltetrahydrofolate_cyclo-ligase	H	1.9e-88
GCA_000017945-FLGBHGLA_03670	arCOG01446	Csa3	CRISPR-Cas_associated_transcriptional_regulator,_contains_CARF_and_HTH_domain	VK	1.4e-06
GCA_000017945-FLGBHGLA_03680	arCOG00402	ProS	Prolyl-tRNA_synthetase	J	8.4e-167
GCA_000017945-FLGBHGLA_03690	arCOG04180	-	Bifunctional_fructose-1,6-bisphosphate_aldolase/phosphatase__FBPA/FBPase	G	9.2e-166
GCA_000017945-FLGBHGLA_03700	-	-	-	-	-
GCA_000017945-FLGBHGLA_03710	-	-	-	-	-
GCA_000017945-FLGBHGLA_03720	arCOG00580	RPB9	DNA-directed_RNA_polymerase,_subunit_M/Transcription_elongation_factor_TFIIS	K	7.3e-24
GCA_000017945-FLGBHGLA_03730	-	-	-	-	-
GCA_000017945-FLGBHGLA_03740	arCOG01356	-	Radical_SAM_superfamily_enzyme	C	1.6e-80
GCA_000017945-FLGBHGLA_03750	arCOG04127	Grc3	Polynucleotide_5'-kinase,_involved_in_rRNA_processing	J	7e-92
GCA_000017945-FLGBHGLA_03760	-	-	-	-	-
GCA_000017945-FLGBHGLA_03770	-	-	-	-	-
GCA_000017945-FLGBHGLA_03780	-	-	-	-	-
GCA_000017945-FLGBHGLA_03790	arCOG01952	SUA5	tRNA_A37_threonylcarbamoyladenosine_synthetase_subunit_TsaC/SUA5/YrdC	J	3.1e-44
GCA_000017945-FLGBHGLA_03800	arCOG01919	TatC	Sec-independent_protein_secretion_pathway_component_TatC	U	7.6e-44
GCA_000017945-FLGBHGLA_03810	arCOG01221	-	Inosine/xanthosine_triphosphatase	F	7.1e-45
GCA_000017945-FLGBHGLA_03820	arCOG01767	PksG	3-hydroxy-3-methylglutaryl_CoA_synthase	I	8.7e-93
GCA_000017945-FLGBHGLA_03830	arCOG01278	PaaJ	Acetyl-CoA_acetyltransferase	I	9e-68
GCA_000017945-FLGBHGLA_03840	arCOG01285	-	OB-fold_domain_and_Zn-ribbon_containing_protein,_possible_acyl-CoA-binding_protein	R	4.9e-22
GCA_000017945-FLGBHGLA_03850	arCOG00857	CaiC	Acyl-CoA_synthetase_(AMP-forming)/AMP-acid_ligase_II	I	1.5e-144
GCA_000017945-FLGBHGLA_03860	-	-	-	-	-
GCA_000017945-FLGBHGLA_03870	arCOG00271	RhaT	Permease_of_the_drug/metabolite_transporter_(DMT)_superfamily	G	2.4e-33
GCA_000017945-FLGBHGLA_03880	arCOG04051	-	Uncharacterized_protein,_DUF424_family	S	2.1e-27
GCA_000017945-FLGBHGLA_03890	arCOG01754	SerA	Phosphoglycerate_dehydrogenase_or_related_dehydrogenase	H	6.2e-93
GCA_000017945-FLGBHGLA_03900	arCOG04352	HisD	Histidinol_dehydrogenase	E	2.3e-92
GCA_000017945-FLGBHGLA_03910	arCOG01338	-	Acyl-CoA_synthetase,_ATP-grasp_containing_subunit	C	3.6e-14
GCA_000017945-FLGBHGLA_03920	arCOG01340	-	Acyl-CoA_synthetase_(NDP_forming)	C	5.5e-99
GCA_000017945-FLGBHGLA_03930	arCOG01013	-	Ribosomal_protein_L13E	J	1.2e-13
GCA_000017945-FLGBHGLA_03940	-	-	-	-	-
GCA_000017945-FLGBHGLA_03950	arCOG01703	UbiX	3-polyprenyl-4-hydroxybenzoate_decarboxylase	H	9.7e-47
GCA_000017945-FLGBHGLA_03960	-	-	-	-	-
GCA_000017945-FLGBHGLA_03970	-	-	-	-	-
GCA_000017945-FLGBHGLA_03980	arCOG00130	-	MFS_family_permease	G	3.7e-47
GCA_000017945-FLGBHGLA_03990	arCOG00584	PanB	Ketopantoate_hydroxymethyltransferase	H	1.4e-122
GCA_000017945-FLGBHGLA_04000	arCOG04246	RtcB	RNA_3'-P_ligase,_RtcB_family_protein	J	2.5e-154
GCA_000017945-FLGBHGLA_04010	arCOG01956	KefB	Kef-type_K+_transport_system,_membrane_component_fused_to_CBS_domains	P	4.7e-109
GCA_000017945-FLGBHGLA_04020	arCOG00769	ThiJ	Putative_intracellular_protease/amidase	R	9.3e-33
GCA_000017945-FLGBHGLA_04030	arCOG00401	ThrS	Threonyl-tRNA_synthetase	J	2.4e-17
GCA_000017945-FLGBHGLA_04040	arCOG00940	-	Radical_SAM_superfamily_enzyme	R	3.3e-108
GCA_000017945-FLGBHGLA_04050	arCOG00696	HutI	Imidazolonepropionase_or_related_amidohydrolase	Q	2.4e-47
GCA_000017945-FLGBHGLA_04060	arCOG00666	GCD1	N-acetylglucosamine-1-phosphate_uridyltransferase	M	4.3e-23
GCA_000017945-FLGBHGLA_04070	arCOG01747	PurB	Adenylosuccinate_lyase	F	4.9e-141
GCA_000017945-FLGBHGLA_04080	arCOG04231	CutA	Uncharacterized_protein_involved_in_tolerance_to_divalent_cations	P	1.8e-31
GCA_000017945-FLGBHGLA_04090	arCOG02726	GatC	Asp-tRNAAsn/Glu-tRNAGln_amidotransferase_C_subunit	J	4.8e-15
GCA_000017945-FLGBHGLA_04100	arCOG00367	-	NurA_5'-3'_nuclease	L	3.4e-15
GCA_000017945-FLGBHGLA_04110	-	-	-	-	-
GCA_000017945-FLGBHGLA_04120	-	-	-	-	-
GCA_000017945-FLGBHGLA_04130	arCOG08854	-	Uncharacterized_protein	S	6.1e-29
GCA_000017945-FLGBHGLA_04140	arCOG01130	-	Aspartate/tyrosine/aromatic_aminotransferase	E	9.7e-71
GCA_000017945-FLGBHGLA_04150	arCOG00095	GltB	Glutamate_synthase_domain_1	E	2.3e-68
GCA_000017945-FLGBHGLA_04160	arCOG00619	GltB	Glutamate_synthase_domain_2_and_ferredoxin_domain	E	4.8e-95
GCA_000017945-FLGBHGLA_04170	arCOG00130	-	MFS_family_permease	G	5.5e-12
GCA_000017945-FLGBHGLA_04180	-	-	-	-	-
GCA_000017945-FLGBHGLA_04190	arCOG00505	-	Metal-dependent_hydrolase_of_the_beta-lactamase_superfamily_II	R	1.1e-76
GCA_000017945-FLGBHGLA_04200	-	-	-	-	-
GCA_000017945-FLGBHGLA_04210	arCOG00038	ThiI	tRNA_S(4)U_4-thiouridine_synthase	J	9.2e-15
GCA_000017945-FLGBHGLA_04220	arCOG04428	HypD	Hydrogenase_maturation_factor	O	1.6e-143
GCA_000017945-FLGBHGLA_04230	arCOG04149	NMD3	NMD_protein_affecting_ribosome_stability_and_mRNA_decay	J	1.1e-44
GCA_000017945-FLGBHGLA_04240	arCOG02602	OxdD	Oxalate_decarboxylase/archaeal_phosphoglucose_isomerase,_cupin_superfamily	G	3.7e-49
GCA_000017945-FLGBHGLA_04250	arCOG00476	UbiA	4-hydroxybenzoate_polyprenyltransferase_or_related_prenyltransferase	H	1.1e-52
GCA_000017945-FLGBHGLA_04260	arCOG01753	Ssh10b	Archaeal_DNA-binding_protein_Alba	K	4.9e-14
GCA_000017945-FLGBHGLA_04270	arCOG01526	TopG2	Reverse_gyrase	L	7.7e-245
GCA_000017945-FLGBHGLA_04280	arCOG02491	-	WD40_repeats_containing_protein	S	6.3e-50
GCA_000017945-FLGBHGLA_04290	arCOG00338	SdhC	Succinate_dehydrogenase_subunit_C	C	2.4e-55
GCA_000017945-FLGBHGLA_04300	arCOG01320	RibB	3,4-dihydroxy-2-butanone_4-phosphate_synthase	H	8.1e-58
GCA_000017945-FLGBHGLA_04310	arCOG05956	-	Metal-binding_protein_with_CxxC..HxxxxH_signature	S	6.4e-22
GCA_000017945-FLGBHGLA_04320	arCOG04066	-	Predicted_nucleotidyltransferase	R	2.1e-83
GCA_000017945-FLGBHGLA_04330	arCOG00637	HypE	Hydrogenase_maturation_factor	O	3.1e-106
GCA_000017945-FLGBHGLA_04340	arCOG01085	PcrB	(S)-3-O-geranylgeranylglyceryl_phosphate_synthase,_TIM-barrel_fold	I	7.3e-55
GCA_000017945-FLGBHGLA_04350	arCOG04136	Elf1	Transcription_elongation_factor_Elf1,_Zn_ribbon-containing_protein	J	9.4e-28
GCA_000017945-FLGBHGLA_04360	arCOG01120	-	SWIM_zinc_finger	S	2.5e-16
GCA_000017945-FLGBHGLA_04370	arCOG01122	RpiA	Ribose_5-phosphate_isomerase	G	3.5e-47
GCA_000017945-FLGBHGLA_04380	arCOG08093	-	Zn_finger_protein	S	6.9e-16
GCA_000017945-FLGBHGLA_04390	-	-	-	-	-
GCA_000017945-FLGBHGLA_04400	arCOG09012	-	Heparinase_II/III-like_protein	R	1.1e-08
GCA_000017945-FLGBHGLA_04410	-	-	-	-	-
GCA_000017945-FLGBHGLA_04420	arCOG01086	TrpA	Tryptophan_synthase_alpha_chain	E	1.5e-51
GCA_000017945-FLGBHGLA_04430	-	-	-	-	-
GCA_000017945-FLGBHGLA_04440	arCOG09748	-	Uncharacterized_protein	S	4.8e-31
GCA_000017945-FLGBHGLA_04450	-	-	-	-	-
GCA_000017945-FLGBHGLA_04460	-	-	-	-	-
GCA_000017945-FLGBHGLA_04470	arCOG02491	-	WD40_repeats_containing_protein	S	6.5e-51
GCA_000017945-FLGBHGLA_04480	arCOG02491	-	WD40_repeats_containing_protein	S	3e-34
GCA_000017945-FLGBHGLA_04490	arCOG03682	SPS1	Membrane_associated_serine/threonine_protein_kinase	T	6.9e-28
GCA_000017945-FLGBHGLA_04500	arCOG03724	-	KID-like_repeats_containing_protein,_paREP15_family	S	9.6e-29
GCA_000017945-FLGBHGLA_04510	arCOG04225	YmdB	O-acetyl-ADP-ribose_deacetylase_(regulator_of_RNase_III),_contains_Macro_domain	J	1.9e-47
GCA_000017945-FLGBHGLA_04520	arCOG04471	-	Exosortase	U	1.1e-06
GCA_000017945-FLGBHGLA_04530	arCOG00894	-	Glycosyl_transferase_family_2	M	2.6e-60
